id,level,code,structure,pattern,pinyin,english,review,example,exampleTranslation,url
86,3,N4.33,そうだ 2,そうだ,,look like; appear; seem,,,,
87,3,N4.34,そうに / そうな,そうに|そうな,,seem; look like,,,,
88,3,N4.35,それでも,それでも,,but still; and yet,,,,
89,3,N4.36,そんなに,そんなに,,so; so much; like that,,,,
90,3,N4.37,たがる,たがる,,to want to,,,,
91,3,N4.38,だけで,だけで,,just by,,,,
92,3,N4.39,出す,出す,,to suddenly begin; to suddenly appear,,,,
93,3,N4.40,たところ,たところ,,just finished doing; was just doing,,,,
94,3,N4.41,たばかり,たばかり,,just did; something just happened,,,,
95,3,N4.42,たら,たら,,if; after; when,,,,
96,3,N4.43,たらどう,たらどう,,why don't you,,,,
97,3,N4.44,たり○○たり,たり*たり,,do such things like,,,,
98,3,N4.45,続ける,続ける,,to continue,,,,
99,3,N4.46,てあげる,てあげる,,to do something for someone,,,,
100,3,N4.47,てある,てある,,something is/has been done,,,,
101,3,N4.48,ていく,ていく,,to go and do,,,,
102,3,N4.49,ていただけませんか,ていただけませんか,,could you please,,,,
103,3,N4.50,ているところ,ているところ,,in the process of doing,,,,
104,3,N4.51,ておく / とく,ておく|とく,,to do something for later,,,,
105,3,N4.52,てくる,てくる,,to come to; to become; to continue,,,,
106,3,N4.53,てくれる,てくれる,,to do something for someone,,,,
107,3,N4.54,でございます,でございます,,there is; this is (honorific である),,,,
108,3,N4.55,てしまう / ちゃう,てしまう|ちゃう,,to do something (regretfully); to do something (completely),,,,
109,3,N4.56,てすみません,てすみません,,I'm sorry for,,,,
110,3,N4.57,てほしい,てほしい,,I want you to; I need you to,,,,
111,3,N4.58,てみる,てみる,,to try to,,,,
112,3,N4.59,ても,ても,,even if; even though,,,,
113,3,N4.60,でも,でも,,or something,,,,
114,3,N4.61,てもらう,てもらう,,to get somebody to do something,,,,
115,3,N4.62,てよかった,てよかった,,I'm glad that,,,,
116,3,N4.63,と,_と,,if; when; and,,,,
117,3,N4.64,ということ,ということ,,(changes a sentence or phrase into a noun),,,,
118,3,N4.65,と思う,と思う,,I think; you think,,,,
119,3,N4.66,とか○○とか,とか,,among other things; such as,,,,
120,3,N4.67,とき,とき,,when; at the time,,,,
121,3,N4.68,ところ,ところ,,about to; on the verge of,,,,
122,3,N4.69,ないで,ないで,,without doing; don't,,,,
123,3,N4.70,ながら,ながら,,while; during; as,,,,
124,3,N4.71,なくてはいけない / なくてはならない,なくてはいけない|なくてはならない,,must do; have to do,,,,
125,3,N4.72,なくてもいい,なくてもいい,,don't have to,,,,
126,3,N4.73,なければいけない / なければならない,なければいけない|なければならない,,must do; have to do,,,,
127,3,N4.74,なさい,なさい,,(order somebody to do something),,,,
128,3,N4.75,なさる,なさる,,to do (honorific する),,,,
129,3,N4.76,など,など,,such as; things like,,,,
130,3,N4.77,なら,なら,,if; in case; as for,,,,
131,3,N4.78,にくい,にくい,,difficult to,,,,
132,3,N4.79,の中で,の中で,,in; among,,,,
133,3,N4.80,のに 1,のに,,although in spite of; even though,,,,
134,3,N4.81,のに 2,のに,,in order to,,,,
135,3,N4.82,のように / のような,のように|のような,,like; similar to,,,,
136,3,N4.83,ば,_ば,,if… then,,,,
137,3,N4.84,場合は,場合は,,in the event of,,,,
138,3,N4.85,ばかり 1,ばかり,,only; nothing but,,,,
139,3,N4.86,始める,始める,,to start; to begin to,,,,
140,3,N4.87,はずがない,はずがない,,cannot be,,,,
141,3,N4.88,はずだ,はずだ,,it must be; it should be,,,,
142,3,N4.89,必要,必要,,need; necessary,,,,
143,3,N4.90,必要がある,必要がある,,need to,,,,
144,3,N4.91,ほしい,ほしい,,to want something; to be in need of,,,,
145,3,N4.92,までに,までに,,by; by the time,,,,
146,3,N4.93,みたい,みたい,,like; similar to; resembling,,,,
147,3,N4.94,みたいに/みたいな,みたいに|みたいな,,like; similar to,,,,
148,3,N4.95,やすい,やすい,,easy to; likely to,,,,
149,3,N4.96,ようだ,ようだ,,it seems that; it appears that; it looks like,,,,
150,3,N4.97,ようと思う,ようと思う,,I think I will,,,,
151,3,N4.98,ように/ような,ように|ような,,as; like; just like,,,,
152,3,N4.99,ようにする,ようにする,,to try to; to make sure that,,,,
153,3,N4.100,ようになる,ようになる,,to reach the point that,,,,
154,3,N4.101,よていだ,よていだ,,plan to; intend to,,,,
155,3,N4.102,より,より,,than,,,,
156,3,N4.103,らしい,らしい,,-like,,,,
157,3,N4.104,られる 1,られる,,to be able to do something,,,,
158,3,N4.105,られる 2,られる,,to do (by someone),,,,
159,4,N3.1,あまり,あまり,,so much… that,,,,
160,4,N3.2,あまりに,あまりに,,so much… that; too…,,,,
161,4,N3.3,いくら○○ても / いくら○○でも,いくら*ても|いくら*でも,,no matter how,,,,
162,4,N3.4,一方だ,一方だ,,more and more; continue to,,,,
163,4,N3.5,一方で,一方で,,on one hand; on the other hand,,,,
164,4,N3.6,うちに,うちに,,while; before; doing,,,,
165,4,N3.7,おかげで,おかげで,,thanks to; because of,,,,
166,4,N3.8,おそらく,おそらく,,perhaps; likely; probably,,,,
167,4,N3.9,かけ,かけ,,half-; not yet finished,,,,
168,4,N3.10,がたい,がたい,,hard to; difficult to,,,,
169,4,N3.11,がち,がち,,apt to do; tend to do,,,,
170,4,N3.12,代わりに,代わりに,,instead of; in exchange for,,,,
171,4,N3.13,ぎみ,ぎみ,,-like; -looking,,,,
172,4,N3.14,きり,きり,,only; just,,,,
173,4,N3.15,きる,きる,,to do something completely,,,,
174,4,N3.16,切れない,切れない,,being too much to finish,,,,
175,4,N3.17,くせに,くせに,,even though; and yet; despite,,,,
176,4,N3.18,くらい / ぐらい,くらい|ぐらい,,probably; around,,,,
177,4,N3.19,決して○○ない,決して*ない,,never; by no means,,,,
178,4,N3.20,こそ,こそ,,certainly (emphasises the previous word),,,,
179,4,N3.21,こと,こと,,(must) do,,,,
180,4,N3.22,ことか,ことか,,how…? what…!,,,,
181,4,N3.23,ことがある,ことがある,,can; sometimes happens,,,,
182,4,N3.24,ことだ,ことだ,,should (when giving advice),,,,
183,4,N3.25,ことに,ことに,,-ly,,,,
184,4,N3.26,ことはない,ことはない,,there is no need to; never happens,,,,
185,4,N3.27,さえ,_さえ,,even,,,,
186,4,N3.28,さえ○○ば / さえすれば / さえいれば,さえ*ば|さえすれば|さえいれば,,if only… then,,,,
187,4,N3.29,しかない,しかない,,have no choice but,,,,
188,4,N3.30,ずに,ずに,,without (doing),,,,
189,4,N3.31,ずにはいられない,ずにはいられない,,can't help but feel; can't help but do,,,,
190,4,N3.32,せいで,せいで,,because of,,,,
191,4,N3.33,そうもない,そうもない,,very unlikely to,,,,
192,4,N3.34,その結果,その結果,,as a result,,,,
193,4,N3.35,だけ 2,だけ,,as much as,,,,
194,4,N3.36,た結果 / の結果,た結果|の結果,,as a result of,,,,
195,4,N3.37,だけど,だけど,,but; however,,,,
196,4,N3.38,確かに,確かに,,surely; certainly,,,,
197,4,N3.39,たとえ○○ても,たとえ*ても,,even if… is the case,,,,
198,4,N3.40,たとえば,たとえば,,for example,,,,
199,4,N3.41,たとたん,たとたん,,as soon as; just (now),,,,
200,4,N3.42,たびに,たびに,,everytime; whenever,,,,
201,4,N3.43,ために 1,ために,,for the sake of; in order to,,,,
202,4,N3.44,ために 2,ために,,because of; as a result of,,,,
203,4,N3.45,たらいい / といい 1,たらいい|といい,,should,,,,
204,4,N3.46,たらいい / といい 2,たらいい|といい,,I hope,,,,
205,4,N3.47,たらいい / といい 3,たらいい|といい,,it would be nice if,,,,
206,4,N3.48,だらけ 1,だらけ,,covered (all over),,,,
207,4,N3.49,だらけ 2,だらけ,,full of,,,,
208,4,N3.50,ついでに,ついでに,,taking the opportunity; while (you) are at it,,,,
209,4,N3.51,っけ,っけ,,what is… again?,,,,
210,4,N3.52,っぱなし,っぱなし,,leaving something still in use,,,,
211,4,N3.53,っぽい,っぽい,,-ish; -like,,,,
212,4,N3.54,つまり,つまり,,in other words; that is to say,,,,
213,4,N3.55,てごらん,てごらん,,(please) try to; (please) look,,,,
214,4,N3.56,て初めて,て初めて,,not until; only after… did I,,,,
215,4,N3.57,てもかまわない / てもかまいません,てもかまわない|てもかまいません,,no problem,,,,
216,4,N3.58,という,という,,called; named,,,,
217,4,N3.59,ということ,ということ,,I've heard that; it seems that,,,,
218,4,N3.60,というと,というと,,speaking of; when you say…,,,,
219,4,N3.61,というのは 1,というのは,,means; is,,,,
220,4,N3.62,というのは 2,というのは,,because,,,,
221,4,N3.63,というのは 3,というのは,,in particular,,,,
222,4,N3.64,というより,というより,,rather than,,,,
223,4,N3.65,といっても,といっても,,although one says,,,,
224,4,N3.66,とおり,とおり,,in the way; the same as,,,,
225,4,N3.67,ところが,ところが,,however; although,,,,
226,4,N3.68,どころか,どころか,,far from; nevermind,,,,
227,4,N3.69,ところで,ところで,,by the way,,,,
228,4,N3.70,としたら / とすれば,としたら|とすれば,,if it were the case that; if we assume,,,,
229,4,N3.71,として,として,,as (i.e. in the role of),,,,
230,4,N3.72,としない / とはしない,としない|とはしない,,not try to; not make an effort to,,,,
231,4,N3.73,とする 1,とする,,try to,,,,
232,4,N3.74,とする 2,とする,,be about to,,,,
233,4,N3.75,途中に / 途中で,途中に|途中で,,on the way; in the middle of,,,,
234,4,N3.76,と共に,と共に,,together with,,,,
235,4,N3.77,とは限らない,とは限らない,,not necessarily so; is not always true,,,,
236,4,N3.78,どんなに○○ても,どんなに*ても,,no matter how,,,,
237,4,N3.79,ないことはない,ないことはない,,can; is not impossible,,,,
238,4,N3.80,中,中,,during; throughout,,,,
239,4,N3.81,ながら / いながら / ながらも,ながら|いながら|ながらも,,although; despite,,,,
240,4,N3.82,なぜなら / なぜかというと,なぜなら|なぜかというと,,because; the reason is,,,,
241,4,N3.83,なるべく,なるべく,,as much as possible,,,,
242,4,N3.84,なんか / なんて,なんか|なんて,,things like; something,,,,
243,4,N3.85,において / における,において|における,,in; on; at; as for; regarding,,,,
244,4,N3.86,にかけて,にかけて,,over (a period); through; concerning,,,,
245,4,N3.87,にかわって / にかわり,にかわって|にかわり,,instead of; on behalf of,,,,
246,4,N3.88,に関する / に関して,に関する|に関して,,related to; about,,,,
247,4,N3.89,に比べて,に比べて,,compared to,,,,
248,4,N3.90,にしては,にしては,,for; considering it's,,,,
249,4,N3.91,にしても,にしても,,even if,,,,
250,4,N3.92,に対して,に対して,,regarding; with regards to,,,,
251,4,N3.93,に違いない,に違いない,,I'm sure; no doubt that,,,,
252,4,N3.94,について,について,,concerning; about,,,,
253,4,N3.95,につれて,につれて,,as… then,,,,
254,4,N3.96,にとって,にとって,,to; for; concerning,,,,
255,4,N3.97,によって / による,によって|による,,due to; by means of,,,,
256,4,N3.98,によると / によれば,によると|によれば,,according to,,,,
257,4,N3.99,間 / 間に 1,間|間に,,while; during,,,,
258,4,N3.100,間 / 間に 2,間|間に,,between,,,,
259,4,N3.101,ば○○ほど,ば*ほど,,the more… the more/less,,,,
260,4,N3.102,ばいい,ばいい,,should; can; it'd be good if,,,,
261,4,N3.103,ばかりでなく,ばかりでなく,,not only… but also; as well as,,,,
262,4,N3.104,ばよかった,ばよかった,,should have; it would have been better if,,,,
263,4,N3.105,ふと 1,ふと,,suddenly,,,,
264,4,N3.106,ふと 2,ふと,,accidentally; unexpectedly,,,,
265,4,N3.107,ふりをする,ふりをする,,to pretend; to act as if,,,,
266,4,N3.108,べき,べき,,must do; should do,,,,
267,4,N3.109,べきではない,べきではない,,must not do; should not do,,,,
268,4,N3.110,べつに○○ない / べつに○○じゃない,べつに*ない|べつに*じゃない,,not really; not particularly,,,,
269,4,N3.111,ほど,ほど,,the more; to the extent that; so much… that,,,,
270,4,N3.112,ほど○○ない,ほど*ない,,is not as… as,,,,
271,4,N3.113,最中に,最中に,,in the middle of,,,,
272,4,N3.114,まま,まま,,as it is,,,,
273,4,N3.115,まるで,まるで,,as if; as though,,,,
274,4,N3.116,向き 1,向き,,towards (direction),,,,
275,4,N3.117,向き 2,向き,,suitable for,,,,
276,4,N3.118,向け,向け,,intended for; aimed at,,,,
277,4,N3.119,めったに,めったに,,hardly; rarely; seldom,,,,
278,4,N3.120,もしかしたら,もしかしたら,,perhaps; maybe,,,,
279,4,N3.121,もの,もの,,because (indicate reason or excuse),,,,
280,4,N3.122,ものだ,ものだ,,used to do something; should do something,,,,
281,4,N3.123,ような気がする,ような気がする,,have a feeling that; think that,,,,
282,4,N3.124,ように,ように,,in order to; so that,,,,
283,4,N3.125,わけがない,わけがない,,there is no way that,,,,
284,4,N3.126,わけだ,わけだ,,for that reason; no wonder; as you'd expect,,,,
285,4,N3.127,わけではない,わけではない,,it doesn't mean that; it is not the case,,,,
286,4,N3.128,わけにはいかない,わけにはいかない,,must not; can't afford to,,,,
287,4,N3.129,わりに,わりに,,for; despite; unexpectedly,,,,
288,4,N3.130,を中心に,を中心に,,focused on; centered on,,,,
289,4,N3.131,をはじめ / をはじめとする,をはじめ|をはじめとする,,for example; starting with,,,,
290,5,N2.1,あるいは,あるいは,,or; possibly,,,,
291,5,N2.2,いきなり,いきなり,,suddenly; all of a sudden,,,,
292,5,N2.3,以上 1,以上,,over,,,,
293,5,N2.4,以上 2,以上,,because; now that,,,,
294,5,N2.5,以上に,以上に,,more than; no less than,,,,
295,5,N2.6,いよいよ,いよいよ,,at last; finally,,,,
296,5,N2.7,いわゆる,いわゆる,,so-called; so to speak,,,,
297,5,N2.8,上で,上で,,after,,,,
298,5,N2.9,上に,上に,,as well; besides; in addition to,,,,
299,5,N2.10,上は,上は,,now that; since,,,,
300,5,N2.11,えない,えない,,unable to; cannot,,,,
301,5,N2.12,える / うる,える|うる,,can; is possible,,,,
302,5,N2.13,お○○願う,お*願う,,could you please,,,,
303,5,N2.14,恐れがある,恐れがある,,there are fears that,,,,
304,5,N2.15,おまけに,おまけに,,to make matters worse,,,,
305,5,N2.16,か○○ないかのうちに,か*ないかのうちに,,right after; as soon as,,,,
306,5,N2.17,かいがある,かいがある,,it's worth one's effort to do something,,,,
307,5,N2.18,かえって,かえって,,on the contrary; rather; surprisingly,,,,
308,5,N2.19,限り,限り,,as long as; while… is the case,,,,
309,5,N2.20,かと思ったら / かと思うと,かと思ったら|かと思うと,,then again; just when; no sooner than,,,,
310,5,N2.21,か何か,か何か,,or something,,,,
311,5,N2.22,かねない,かねない,,might happen; might do something,,,,
312,5,N2.23,かねる,かねる,,unable to do something,,,,
313,5,N2.24,かのよう,かのよう,,as if; just like,,,,
314,5,N2.25,から言うと,から言うと,,in terms of; from the point of view of,,,,
315,5,N2.26,からこそ,からこそ,,precisely because,,,,
316,5,N2.27,からして,からして,,judging from; based on,,,,
317,5,N2.28,からすると / からすれば,からすると|からすれば,,judging from; considering,,,,
318,5,N2.29,からといって,からといって,,just because,,,,
319,5,N2.30,からには,からには,,now that; since; so long as,,,,
320,5,N2.31,ら見ると,ら見ると,,from the point of view of; by the look of,,,,
321,5,N2.32,気,_気,,feel like,,,,
322,5,N2.33,逆に,逆に,,on the contrary,,,,
323,5,N2.34,げ,_げ,,(giving the appearance of),,,,
324,5,N2.35,ことから,ことから,,from the fact that,,,,
325,5,N2.36,ことだから,ことだから,,it is exactly because,,,,
326,5,N2.37,ことなく,ことなく,,without doing something even once,,,,
327,5,N2.38,ごとに,ごとに,,each; every; at intervals of,,,,
328,5,N2.39,ことになっている,ことになっている,,to be expected to; to be scheduled to,,,,
329,5,N2.40,ことにはならない,ことにはならない,,just because… doesn't mean…,,,,
330,5,N2.41,ことは○○が,ことは*が,,although; but,,,,
331,5,N2.42,際に,際に,,at the time; in case of,,,,
332,5,N2.43,幸い,幸い,,luckily; fortunately,,,,
333,5,N2.44,さらに,さらに,,furthermore; again; more and more,,,,
334,5,N2.45,ざるを得ない,ざるを得ない,,can't help doing; have no choice but,,,,
335,5,N2.46,しかも,しかも,,moreover; furthermore,,,,
336,5,N2.47,次第,次第,,as soon as,,,,
337,5,N2.48,次第だ / 次第で,次第だ|次第で,,depending on; so,,,,
338,5,N2.49,したがって,したがって,,therefore; accordingly,,,,
339,5,N2.50,上,_上,,from the standpoint of,,,,
340,5,N2.51,少しも○○ない,少しも*ない,,not one bit; not even a little,,,,
341,5,N2.52,すなわち,すなわち,,in other words,,,,
342,5,N2.53,ずに済む,ずに済む,,get by without doing something,,,,
343,5,N2.54,せいぜい,せいぜい,,at the most; at best,,,,
344,5,N2.55,せめて,せめて,,at least; at most,,,,
345,5,N2.56,そういえば,そういえば,,come to think of it,,,,
346,5,N2.57,そうすると,そうすると,,having done that,,,,
347,5,N2.58,そうにない,そうにない,,extremely unlikely to; showing no signs of,,,,
348,5,N2.59,その上,その上,,besides; in addition; furthermore,,,,
349,5,N2.60,それとも,それとも,,or; or else,,,,
350,5,N2.61,それなのに,それなのに,,and yet; despite this,,,,
351,5,N2.62,それなら,それなら,,then; if that's the case,,,,
352,5,N2.63,それにしても,それにしても,,nevertheless; even so,,,,
353,5,N2.64,たあげく,たあげく,,to end up; finally,,,,
354,5,N2.65,だけあって,だけあって,,…being the case; precisely because,,,,
355,5,N2.66,だけでなく,だけでなく,,not only… but also,,,,
356,5,N2.67,だけに,だけに,,…being the case; precisely because,,,,
357,5,N2.68,だけのことはある,だけのことはある,,no wonder; it's not surprising that,,,,
358,5,N2.69,だけは,だけは,,to do all that one can,,,,
359,5,N2.70,だけましだ,だけましだ,,one should feel grateful for,,,,
360,5,N2.71,た末 / の末,た末|の末,,as a conclusion of,,,,
361,5,N2.72,直ちに,直ちに,,at once; immediately,,,,
362,5,N2.73,だって,だって,,because; but,,,,
363,5,N2.74,たって,たって,,even if; even though; no matter how,,,,
364,5,N2.75,たまえ,たまえ,,(order somebody to do something),,,,
365,5,N2.76,ちっとも○○ない,ちっとも*ない,,not at all; not in the least,,,,
366,5,N2.77,っこない,っこない,,no chance of; … is definitely not possible,,,,
367,5,N2.78,つつ,つつ,,while; although,,,,
368,5,N2.79,つつある,つつある,,to be doing,,,,
369,5,N2.80,つもりで,つもりで,,with the intention of doing,,,,
370,5,N2.81,ていては,ていては,,if one keeps doing something,,,,
371,5,N2.82,て以来,て以来,,since,,,,
372,5,N2.83,てからでないと,てからでないと,,unless; until,,,,
373,5,N2.84,てこそ,てこそ,,now that; since,,,,
374,5,N2.85,でしかない,でしかない,,merely; nothing but; no more than,,,,
375,5,N2.86,てしょうがない,てしょうがない,,very; extremely,,,,
376,5,N2.87,てたまらない,てたまらない,,very; extremely; can't help but do,,,,
377,5,N2.88,てでも,てでも,,even if one has to; by all means,,,,
378,5,N2.89,て当然だ,て当然だ,,natural; as a matter of course,,,,
379,5,N2.90,てならない,てならない,,very; extremely,,,,
380,5,N2.91,ては,ては,,if; since; one after another,,,,
381,5,N2.92,てはいられない,てはいられない,,can't afford to; unable to,,,,
382,5,N2.93,てばかりはいられない,てばかりはいられない,,can't keep doing something,,,,
383,5,N2.94,ではないか,ではないか,,let's do something; why don't we,,,,
384,5,N2.95,てはならない,てはならない,,must not; cannot; should not,,,,
385,5,N2.96,手前,手前,,before; in front of; from one's standpoint,,,,
386,5,N2.97,ということは,ということは,,that is to say,,,,
387,5,N2.98,というふうに,というふうに,,in such a way that,,,,
388,5,N2.99,というものだ,というものだ,,something like…; something called…,,,,
389,5,N2.100,というものでもない,というものでもない,,there is no guarantee that…; not necessarily,,,,
390,5,N2.101,といった,といった,,such… as,,,,
391,5,N2.102,どうせ,どうせ,,anyway; anyhow,,,,
392,5,N2.103,どうやら,どうやら,,it seems like; it appears that,,,,
393,5,N2.104,とか,とか,,I heard that…,,,,
394,5,N2.105,と考えられる,と考えられる,,one can think that…,,,,
395,5,N2.106,ところだった,ところだった,,was just about to do something,,,,
396,5,N2.107,どころではない,どころではない,,this is not the time for…,,,,
397,5,N2.108,ところに / ところへ,ところに|ところへ,,at the time,,,,
398,5,N2.109,ところを見ると,ところを見ると,,judging from; seeing that,,,,
399,5,N2.110,としては,としては,,as for,,,,
400,5,N2.111,としても,としても,,assuming; even if,,,,
401,5,N2.112,とっくに,とっくに,,already; long ago,,,,
402,5,N2.113,と同時に,と同時に,,at the same time as,,,,
403,5,N2.114,とも,とも,,even if; no matter,,,,
404,5,N2.115,ないことには○○ない,ないことには*ない,,unless you do something,,,,
405,5,N2.116,ないではいられない,ないではいられない,,can't help but feel; can't help but do,,,,
406,5,N2.117,なお,なお,,furthermore; still; yet (used to add more information to the ),,,,
407,5,N2.118,中を,中を,,in; on,,,,
408,5,N2.119,なくはない,なくはない,,it's not that…; can; may be,,,,
409,5,N2.120,なにも○○ない,なにも*ない,,no need to,,,,
410,5,N2.121,にあたり,にあたり,,at the time; on the occasion of,,,,
411,5,N2.122,に応じて,に応じて,,depending on; in accordance with,,,,
412,5,N2.123,にかかわらず,にかかわらず,,regardless of,,,,
413,5,N2.124,にかかわる,にかかわる,,to relate to; to have to do with,,,,
414,5,N2.125,に限って,に限って,,only; particularly when,,,,
415,5,N2.126,に限らず,に限らず,,not just; not only… but also,,,,
416,5,N2.127,に限る,に限る,,nothing better than; there's nothing like,,,,
417,5,N2.128,に決まっている,に決まっている,,I'm sure that…,,,,
418,5,N2.129,に加えて,に加えて,,in addition to,,,,
419,5,N2.130,に越したことはない,に越したことはない,,it's best that; there's nothing better than,,,,
420,5,N2.131,に応えて,に応えて,,in response to,,,,
421,5,N2.132,に基づいて,に基づいて,,based on,,,,
422,5,N2.133,に際して,に際して,,on the occasion of; at the time of,,,,
423,5,N2.134,に先立ち,に先立ち,,before; prior to,,,,
424,5,N2.135,に従って,に従って,,as; therefore,,,,
425,5,N2.136,にしたら,にしたら,,from the point of view of,,,,
426,5,N2.137,にしても○○にしても,にしても*にしても,,regardless of whether,,,,
427,5,N2.138,にしろ / にせよ,にしろ|にせよ,,though; even if; whether… or,,,,
428,5,N2.139,にしろ○○にしろ,にしろ*にしろ,,whether… or,,,,
429,5,N2.140,に過ぎない,に過ぎない,,no more than; just; merely,,,,
430,5,N2.141,に相違ない,に相違ない,,without a doubt; certain; sure,,,,
431,5,N2.142,に沿って,に沿って,,along with; in accordance with,,,,
432,5,N2.143,につき,につき,,due to; because; per; each,,,,
433,5,N2.144,につけ,につけ,,both… and…; every time something happens,,,,
434,5,N2.145,にて,にて,,in; at,,,,
435,5,N2.146,に伴って,に伴って,,as; due to,,,,
436,5,N2.147,には,には,,in order to; for,,,,
437,5,N2.148,に反して,に反して,,against; contrary to,,,,
438,5,N2.149,にほかならない,にほかならない,,nothing but; none other than,,,,
439,5,N2.150,に向かって,に向かって,,towards; to face; to head to,,,,
440,5,N2.151,にもかかわらず,にもかかわらず,,despite; in spite of; although,,,,
441,5,N2.152,にわたって,にわたって,,throughout; over (a period of time),,,,
442,5,N2.153,抜きで / 抜きにして,抜きで|抜きにして,,leaving out; cutting out,,,,
