id,level,code,structure,pattern,pinyin,english,review,example,exampleTranslation,url
102,3,2.4.1.1,"반말: -어, 이야",*어|이야,,"casual style ending for verbs, used among close friends or to those younger or of lower status",,,,
103,3,2.4.1.2,이나1 (+동사),이나 ,,"or, and (indicates additional options)",,심심한데 영화나 한 편 볼까요?,Shall we watch movies or something since we are bored?,
104,3,2.4.2.1,반말: -지 마,*지 마,,don't (indicates prohibition in a casual style),,,,
105,3,2.4.2.2,-을지 -을지,*을지 *을지,,whether or not (indicates uncertainty or doubt),,,,
106,3,2.4.3.1,"반말: -는다, -니? -어라",*는다|*니 *어라,,"casual style ending for verbs, used among close friends or to those younger or of lower status",,,,
107,3,2.4.3.2,-기로 하다,*기로 하다,,"to decide to, to plan to (indicates intention or resolution)",,,,
108,3,2.4.4.1,반말: -자,*자,,let's (indicates suggestion or invitation in a casual style),,,,
109,3,2.4.4.2,-어 가지고,*어 가지고,,"because of, due to (indicates reason or cause)",,,,
110,3,2.5.1.1,-는지 알다/모르다,*는지 알다|모르다,,to know/not know if/whether (indicates uncertainty or doubt),,,,
111,3,2.5.1.2,으로(선택),으로,,"optionally, by choice (indicates choice or preference)",,,,
112,3,2.5.2.1,-으려면,*으려면,,"if one intends to, in order to (indicates purpose or intention)",,,,
113,3,2.5.2.2,이나2,이나,,"or, and (indicates additional options)",,,,
114,3,2.5.3.1,-었다가,*었다가,,did something and then did something else (ind,,,,
115,3,2.5.3.2,"-나요, 은가요/ㄴ가요?",*나요|은가요|ㄴ가요,,,,,,
116,3,2.5.4.1,-어 보이다,*어 보이다,,,,,,
117,3,2.5.4.2,-다가,*다가,,,,,,
118,3,2.6.1.1,에 대해서,에 대해서,,,,,,
119,3,2.6.1.2,-을지 모르겠다,*을지 모르겠다,,,,,,
120,3,2.6.2.1,에 비해서,에 비해서,,,,,,
121,3,2.6.2.2,-는 동안,*는 동안,,,,,,
122,3,2.6.3.1,-거나,*거나,,,,,,
123,3,2.6.3.2,-습니다만,*습니다만,,although (formal),,"만난 적이 였습니다만 이름은 보릅
니다.","Even though we have met, I don't know his/her name.",
124,3,2.6.4.1,-어 았다,*어 았다,,,,,,
125,3,2.6.4.2,-지 않으면 안 되다,*지 않으면 안 되다,,,,,,
126,3,2.7.1.1,간접인용: -자고 하다,*자고 하다,,,,,,
127,3,2.7.1.2,-을래요?,*을래요,,,,,,
128,3,2.7.2.1,"간접인용: -는다고 하다, 이라고 하다, -나고 하다",*는다고 하다|이라고 하다|*나고 하다,,,,,,
129,3,2.7.2.2,-어야겠다,*어야겠다,,must,,모델이 되려면 키가더 커야겠다.,You should be taller if you wantto be a model.,
130,3,2.7.3.1,-게 되다,*게 되다,,,,,,
131,3,2.7.3.2,간접인용: -으라고 하다,*으라고 하다,,,,,,
132,3,2.7.4.1,-는 대로,*는 대로,,as soon as,,여행에서 돌아오는 대로 전화하겠습니댜.,I'll call you as soon as I come back from my travels.,
133,3,2.7.4.2,간접인용: 달라고/주라고 하다,달라고|주라고 하다,,,,,,
134,3,2.8.1.1,에다가,에다가,,"(target spot of action) onto, into",,편지 봉투에다가 주소를 쓰세요.,Put your address on the envelop.,
135,3,2.8.1.2,ㅅ 당사,ㅅ 당사,,,,,,
136,3,2.8.2.1,-는 데다가,*는 데다가,,and moreover,,점심을 늦게 먹은 데다가 몸이 안 좋아서 입맛이 없어요.,I don’t feel like eating because I had lunch late and what’s more I also don't feel well.,
137,3,2.8.2.2,-지 말고,*지 말고,,,,,,
138,3,2.8.3.1,-기 위해서,*기 위해서,,,,,,
139,3,2.8.3.2,아무,아무,,,,,,
140,3,2.8.4.1,얼마나 -는지 모르다,얼마나 *는지 모르다,,,,,,
141,3,2.8.4.2,"-나 보다, -은가/ㄴ가 보다",*나 보다|*은가|ㄴ가 보다,,,,,,
142,3,2.9.1.1,밖에,밖에,,,,,,
143,3,2.9.1.2,-었던,*었던,,,,,,
144,3,2.9.2.1,의,의,,,,,,
145,3,2.9.2.2,-던,*던,,,,,,
146,3,2.9.3.1,만에,만에,,,,,,
147,3,2.9.3.2,만큼,만큼,,,,,,
148,3,2.9.4.1,-어서 그런지,*어서 그런지,,maybe because,,아어 가 아파서 그런지 언글이 하얗다.,My baby looks pale maybe because she is sick.,
149,3,2.9.4.2,-더군요,*더군요,,(fact learned from experience),,겨울예 러시아는 정말 춥더군요.,I found that it was very cold in Russia in winter.,
150,3,2.10.1.1,접속사 (conjunctions),접속사 ,,,,,,
151,3,2.10.1.2,-으면 -을수록,*으면 *을수록,,,,,,
152,3,2.10.2.1,-는 줄 알다,*는 줄 알다,,,,,,
153,3,2.10.2.2,처럼,처럼,,,,,,
154,3,2.10.3.1,덕분에,덕분에,,,,,,
155,3,2.10.3.2,-으면서,*으면서,,,,,,
156,3,2.10.4.1,-어지다2,*어지다,,,,,,
157,3,2.10.4.2,-을 테니까,*을 테니까,,,,,,
158,4,3.1.1.1,-뎐데요,*뎐데요,,,,,,
159,4,3.1.1.2,-네요,*네요,,,,,,
160,4,3.1.2.1,-는 편이다,*는 편이다,,,,,,
161,4,3.1.2.2,-고요,*고요,,,,,,
162,4,3.1.3.1,-는데도,*는데도,,,,,,
163,4,3.1.3.2,-기만 하다,*기만 하다,,only,,"그 사랍은 행동은 하지 않고 말만
해요.",That person only talks but does not put it into action.,
164,4,3.1.4.1,-자마자,*자마자,,,,,,
165,4,3.1.4.2,-는대요,*는대요,,,,,,
166,4,3.2.1.1,-으려던 참이다,*으려던 참이다,,just about to,,"가 : 언제 나갈 거예요?
나 : 지금 막 나가려던 찹이었어요.","A : When are you going to leave?
B : I am just about to leave now.",
167,4,3.2.1.2,-을 텐데,*을 텐데,,,,,,
168,4,3.2.2.1,-거든요,*거든요,,,,,,
169,4,3.2.2.2,-고 말고요,*고 말고요,,"of course, yes",,"가 : 그 친구가 그렇게 똑똑해요?
나 : 똑똑하고말고요. 모르는 것이
없다니까요.","A : Is your friend that smart?
B : Yes, he/she is. There is anything he/she doesn't know.",
170,4,3.2.3.1,-었었-,*었었*,,,,,,
171,4,3.2.3.2,-던데,*던데,,,,,,
172,4,3.2.4.1,피동,피동,,,,,,
173,4,3.2.4.2,-어 놓다,*어 놓다,,"(action completed, and the situation is unchanged)",,틀런 부분은 고쳐 놓았으니까 집에서 다사 공부하세요.,"I have corrected the mistaken parts, so please study them again at home.",
174,4,3.3.1.1,-어야,*어야,,只有……才……,,과일은 산선해야 맛이 있어요.,Fruitsa red elicious only when they are fresh.,
175,4,3.3.1.2,"-는다면, 이라면",*는다면|이라면,,if (hypothetical),,"오늘이 금요일이라면 영화를볼수
있을텐데 .",We could see a movie if today were Friday.,
176,4,3.3.2.1,-어야지요,*어야지요,,,,,,
177,4,3.3.2.2,사동,사동,,,,,,
178,4,3.3.3.1,N이라든가,N이라든가,,such as,,"저는 소설이라든가 수펄같은
가며운책이 좋아요.",I like light books such as novels or essays.,
179,4,3.3.3.2,-는다고 하던데,*는다고 하던데,,"I heard …, so/but …",,적게 먹 는 것이 건강에 좋다고 하던데 선생님은 어떻게 생각하세요?,"I heard it is healthy to eat small portions, what do you think about that, teacher?",
180,4,3.3.4.1,"-는다고 보다, -라고 보다",*는다고 보다|*라고 보다,,认为,,그 점은 별로 문재될 게 없다고 본다.,I feel this won't be a problem.,
181,4,3.3.4.2,-는답니다/이랍니다,*는답니다|이랍니다,,呢！,,"형님, 어머님 격정은 마십시오.
어머남은 건강하시답니다.","Brother, don't worry about our mother’s health. She is healthy.",
182,4,3.4.1.1,만 못하다,만 못하다,,不如,,"가 : 새로 산 핸드폰 어때요?
나 : 괜찮은데 디자인아 옛날 핸드폰만못해요.","A : How is your new phone?
B : It's ok, but the design is not as pretty as the old phone.",
183,4,3.4.1.2,-는 대신에,*는 대신에,,instead of (doing something),,나는 대답을하는 대신에 창문쪽으로 고개블돌렀다.,"Instead of answering, I turned my head towards the window.",
184,4,3.4.2.1,-는다고 해서,*는다고 해서,,,,,,
185,4,3.4.2.2,-고서,*고서,,后，就（接着）,,급하게 밥올 먹고서 재현 것 같다.,It looks like that I have my stomach upset because I ate too fast.,
186,4,3.4.3.1,-을 뿐만 아니라,*을 뿐만 아니라,,,,,,
187,4,3.4.3.2,-어야지,*어야지,,一定要,,,,
188,4,3.4.4.1,-을 만하다,*을 만하다,,worth (doing something),,"가 : 그 책 재미있어요?
나: 네, 읽을 만해요.","A: Is that book interesting?
B: Yes, it is worth reading.",
189,4,3.4.4.2,-을걸요,*을걸요,,也许,,"가: 바행기가 도착했을까?
나: 지금쯤 도착했을걸요.","A : Do yout think that the plane has arrived?
B: It might have arrived by now.",
190,4,3.5.1.1,-는 모양이다,*는 모양이다,,,,하늘을 보니 곧 비가 올 모양이다.,"Looking at the sky, it looks like it is going to rain.",
191,4,3.5.1.2,-을걸요,*을걸요,,,,,,
192,4,3.5.2.1,-는다면서요?/-이라면서요?,*는다면서요|*이라면서요,,,,,,
193,4,3.5.2.2,-만하다,*만하다,,好像……一样（大小）,,그녀는 얼굴이 주먹만하다.,Her face is as small as a fist.,
194,4,3.5.3.1,-기란,*기란,,-기는 (with emphasis),,계획을 하기는 쉬운데 실천에 옮기기란 아주어렵다.,It is easy to plan things but very difficult to put it into action.,
195,4,3.5.3.2,-었던 것 같다,*었던 것 같다,,,,,,
196,4,3.5.4.1,-었을 텐데,*었을 텐데,,应该 must have been,,"용돈이 떨어질 때가 되었을 텐데
아직 연락이 없네요.","It is time that she/he must have run out of pocket money. But she/he hasn't
called yet.",
197,4,3.5.4.2,-거든,*거든,,要是,,"가: 오늘은 정말 피곤하네.
나: 피곤하거든 집에 일찍 기저 좀 쉬어.","A: I am really tired today.
B: If you are tired, you should go home early and take a rest.",
198,4,3.6.1.1,-어다가,*어다가,,,,,,
199,4,3.6.1.2,이라도,이라도,,,,,,
200,4,3.6.2.1,-더라,*더라,,,,,,
201,4,3.6.2.2,-다니요?/이라니요?,*다니요|이라니요,,(Expressing you’re unaware of something.),,"가 : 어제 영화 재미었었어요?
나 : 영화라니요? 무슨 영화요?","A: Was the movie fun yesterday?
B: Movie? What movie?",
202,4,3.6.3.1,-고 나서,*고 나서,,完了后,,"저녁올 먹고 나서 회의를 하기로
했다.",We have decided to have the meeting after dinner.,
203,4,3.6.3.2,-지,*지,,应该（本应该）,,,,
204,4,3.6.4.1,-는다니까,*는다니까,,听说……所以,,"오늘은 비가 온다니까 일찍들 집에
갑시다.","They said that it is going to rain today, so let s go home early.",
205,4,3.6.4.2,-(시)지요,*지요,,（请）……吧,,날씨가 꽤 추운데 코트를 입으시지요.,"The weather’s really cold, you should better wear a coat.",
206,4,3.7.1.1,-는다는 것이,*는다는 것이,,本想……却,,쓰레기를 버린다는 것이 중요한 서류를 버렸다.,"I meant to throw the rubbish away, instead, I threw some important documents away.",
207,4,3.7.1.2,-을까봐,*을까봐,,担心（就要发生的事）,,"회의 시간에 늦을까 봐 택시를 탔다,",I took a taxi worried about being late.,
208,4,3.7.2.1,-어 버리다,*어 버리다,,,,,,
209,4,3.7.2.2,-잖아요,*잖아요,,,,,,
210,4,3.7.3.1,-고 해서,*고 해서,,(mostly) because,,할 일도 없고 해서 산책을 했다.,I went for a walk (mostly) because there was nothing to do.,
211,4,3.7.3.2,-지 그래요,*지 그래요,,(careful suggestion),,"그렇게 서두르지 말고 좀 천천히
하지 그래요?",How about slowing down instead of hastening like that?,
212,4,3.7.4.1,-고도,*고도,,even though,,"몇 번이나 연습하고도 또 실수를
해버렸다.","Even though I have practiced so many times, I made a mistake.",
213,4,3.7.4.2,-단 말이에요?,*단 말이에요,,,,,,
214,4,3.8.1.1,-으면서도,*으면서도,,,,,,
215,4,3.8.1.2,-도록 하다,*도록 하다,,make sure to,,충분히 쉬도록 하심시오.,Make sure that you rest well.,
216,4,3.8.2.1,어찌나 -는지,어찌나 *는지,,It’s so… that…,,"어찌나 값이 비싼지 그 물건을
사는 사람이 한 명도 없었다.",The price is so high that there was not even one person who bought that item.,
217,4,3.8.2.2,-고 말다,*고 말다,,end up doing,,"친구의 비밀을 선생님께 말하고
말았다.",I ended up telling my teacher my friend’s secret to my teacher.,
218,4,3.8.3.1,-고는,*고는,,……了后，居然,,결혼을 하고는 성격이 달라졌다.,(Someone’s) character has changed after marriage.,
219,4,3.8.3.2,-을지도 모르다,*을지도 모르다,,,,,,
220,4,3.8.4.1,-으면 되다,*으면 되다,,,,,,
221,4,3.8.4.2,-이라서,*이라서,,,,,,
222,4,3.9.1.1,-기는요,*기는요,,,,,,
223,4,3.9.1.2,-느라고,*느라고,,,,,,
224,4,3.9.2.1,담화 표지,담화 표지,,,,,,
225,4,3.9.2.2,-게,*게,,为了能……,,"휠체어가 지나가게 길 좀 비켜
주세요.",Please move aside so that the wheelchair can pass by.,
226,4,3.9.3.1,-다니/이라니,*다니|이라니,,居然,,"그분이 일본 사람이라니 너 무
놀랍다.",It is very surprising that this person is Japanese.,
227,4,3.9.3.2,-게 하다,*게 하다,,,,,,
228,4,3.9.4.1,-는다지요?/이라지요?,*는다지요|이라지요,,听说,,그분 남편이 의사라지요?,Is it true that her husband is a doctor?,
229,4,3.9.4.2,-을 건가요?,*을 건가요,,会……吗/呢？（确认计划）,,"가: 어 책 오놀 읽으실 건가요?
나: 아니에요. 먼저 보세요.","A: Are you going to read this book today?
B: No, you can read it first.",
230,4,3.10.1.1,다가도,다가도,,即使……了,,그 나라는 여름예는 날씨가 맑다가도 갑자기 비가온다.,Even while the weather is clear during summer in that country suddenly it starts raining.,
231,4,3.10.1.2,-곤 하다,*곤 하다,,往往，常常,,"학교 수업이 끝냐면 도서관에 가서
책을 읽곤 했다.",I used to go to the library and read books after class.,
232,4,3.10.2.1,전만 해도,전만 해도,,刚刚还……（现在却……）,,"가: 그 영화 매진이래.
나: 어? 조금 전만 해도 7시 30분
표가 있었는데…….","A : That movie is sold out.
B : What? Just a moment ago there were tickets for the 7:30 pm show.",
233,4,3.10.2.2,-다고/라고 할 수 있다,*다고|라고 할 수 있다,,可以说,,이 책은 3급 학생들에게는 좀 쉽 다고 할 수 있다.,You can say that this book can be too easy for the Level 3 students.,
234,4,3.10.3.1,-었을 것이다,*었을 것이다,,,,,,
235,4,3.10.3.2,-었다면,*었다면,,,,,,
236,4,3.10.4.1,-듯이,*듯이,,,,,,
237,4,3.10.4.2,은 물론,은 물론,,不只,,유럽은 물론 아시아의 각국도 축제 분위기이다.,Not only Europe but also every country in Asia is in a celebrating mood,
238,5,4.1.1.1,-다가 보니,*다가 보니,,,,계속 같은 음식만 먹다가 보니 이젠 싫증이 나서 못 먹겠어요.,,
239,5,4.1.1.2,-긴 하는데,*긴 하는데,,,,혼자 생활해서 자유롭긴 한데 외로을 때도 있어요.,,
240,5,4.1.2.1,-었더라면,*었더라면,,,,저희 부모님이 부자였더라민 성 공하기 위해서 그렇게 열심히 공부하지 않았을 겁니다.,,
241,5,4.1.2.2,이나 다름없다,이나 다름없다,,,,친구에게 부탁을 했을 때 “한번 생각해 볼 게”라고 대답하는 것은 거절이나 다름없어요.,,
242,5,4.1.3.1,-도록1,*도록,,,,,,
243,5,4.1.3.2,-는다고 해서,*는다고 해서,,,,,,
244,5,4.1.4.1,-는다 -는다하는 게,*는다 *는다하는 게,,,,,,
245,5,4.1.4.2,-어 가면서,*어 가면서,,,,,,
246,5,4.2.1.1,-는지,*는지,,,,,,
247,5,4.2.1.2,-다(가) 보면,*다 보면,,,,사람이 살다(가) 보면 예상하지 못했던 일들이 많이 일어난다.,,
248,5,4.2.2.1,-더니1,*더니,,,,,,
249,5,4.2.2.2,-으면 뭘해요,*으면 뭘해요,,,,,,
250,5,4.2.3.1,-을 게 아니라,*을 게 아니라,,,,,,
251,5,4.2.3.2,-었다 하면,*었다 하면,,,,,,
252,5,4.2.4.1,-을 뻔하다,*을 뻔하다,,,,,,
253,5,4.2.4.2,-는다기에,*는다기에,,,,,,
254,5,4.3.1.1,-기에는,*기에는,,,,,,
255,5,4.3.1.2,-고 보니,*고 보니,,,,,,
256,5,4.3.2.1,-어서야 어디 -겠어요?,*어서야 어디 *겠어요,,,,,,
257,5,4.3.2.2,-는다고 해도,*는다고 해도,,,,,,
258,5,4.3.3.1,-었더니,*었더니,,,,,,
259,5,4.3.3.2,-을 수가 있어다지,*을 수가 있어다지,,,,,,
260,5,4.3.4.1,-어야지 그렇지 않으면,*어야지 그렇지 않으면,,,,,,
261,5,4.3.4.2,-었으면 -고 얼마나 좋았겠어요?,*었으면 *고 얼마나 좋았겠어요,,,,,,
262,5,4.4.1.1,-을 겸,*을 겸,,,,,,
263,5,4.4.1.2,-는다던데,*는다던데,,,,,,
264,5,4.4.2.1,-는걸요,*는걸요,,,,,,
265,5,4.4.2.2,에 비하면,에 비하면,,,,,,
266,5,4.4.3.1,-는다고들 하다,*는다고들 하다,,,,,,
267,5,4.4.3.2,-건 -건,*건 *건,,,,,,
268,5,4.4.4.1,이며,이며,,,,,,
269,5,4.4.4.2,여간 -지 않다,여간 *지 않다,,,,,,
270,5,4.5.1.1,만 해도,만 해도,,,,,,
271,5,4.5.1.2,-다가는,*다가는,,,,,,
272,5,4.5.2.1,에 의하면,에 의하면,,,,,,
273,5,4.5.2.2,-고서는,*고서는,,,,인사만 나누고서는 그냥 헤어졌어요.,只是打了个招呼（后）就分手了。,
274,5,4.5.3.1,로 인해,로 인해,,,,,,
275,5,4.5.3.2,에 달려 있다,에 달려 있다,,,,,,
276,5,4.5.4.1,-더니2,*더니,,,,,,
277,5,4.5.4.2,으면 -는법이다,으면 *는법이다,,,,,,
278,5,4.6.1.1,만으로는,만으로는,,,,이것만으로는 부족합니다.,,
279,5,4.6.1.2,-는 수가 있다,*는 수가 있다,,,,,,
280,5,4.6.2.1,-는 축에 들다,*는 축에 들다,,,,,,
281,5,4.6.2.2,-든 -든,*든 *든,,,,,,
282,5,4.6.3.1,마치 -는 것처럼,마치 *는 것처럼,,,,,,
