eng,iso639-3,iso639-1,zho,afr,ara,cat,deu,ell,fin,fra,gle,hin,hrv,hun,ind,ita,jpn,kor,lat,nan,nld,nor,pol,por,ron,rus,spa,srp,swa,swe,tha,tur,vie
Italian,ita,it,意大利语,Italiaans,,italià,,,,,,,,,,,イタリア語,이탈리아어,,,,,,,,,,,,,,,người Ý
Norwegian,nor,no,挪威语,Noors,,noruec,,,,,,,,,,,ノルウェー語,노르웨이어,,,,,,,,,,,,,,,tiếng na uy
Swahili,swa,sw,斯瓦希里语,Swahili,,swahili,,,,,,,,,,,スワヒリ語,스와힐리어,,,,,,,,,,,,,,,tiếng Swahili
Punjabi,pan,pa,旁遮普语,Punjabi,,panjabi,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japanese,jpn,ja,日语,Japanees,,japonès,,,,,,,,,,,日本語,일본어,,,,,,,,,,,,,,,tiếng Nhật
Maori,mri,mi,毛利语,Maori,,maori,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chinese,cmn,cmn,汉语,Chinees,,xinès,,,,,,,,,,,中国語,중국어,,,,,,,,,,,,,,,người Trung Quốc
French,fra,fr,法语,Frans,,francès,,,,,,,,,,,フランス語,프랑스어,,,,,,,,,,,,,,,người Pháp
Polish,pol,pl,波兰语,Pools,,polonès,,,,,,,,,,,ポーランド語,폴란드어,,,,,,,,,,,,,,,Đánh bóng
Persian,fas,fa,波斯语,Persies,,persa,,,,,,,,,,,ペルシャ語,,,,,,,,,,,,,,,,
Telugu,tel,te,泰卢固语,Telugu,,telugu,,,,,,,,,,,テルグ語,,,,,,,,,,,,,,,,
Tamil,tam,ta,泰米尔语,Tamil,,tamil,,,,,,,,,,,タミル,,,,,,,,,,,,,,,,
Thai,tha,th,泰语,Thai,,tailandès,,,,,,,,,,,タイ語,타이어,,,,,,,,,,,,,,,tiếng Thái
Haitian Creole,hat,ht,海地克里奥尔语,Haïtiaanse Creool,,crioll haitià,,,,,,,,,,,,,,,,,,,,,,,,,,,
Min Nan,nan,,闽南语,Min Nan,,min nan,,,,,,,,,,,ミンナン語,민난어,,,,,,,,,,,,,,,Mân Nam
Min Nan Chinese,nan,,闽南语,Min Nan Chinees,,xinès min nan,,,,,,,,,,,ミンナン中国語,,,,,,,,,,,,,,,,
Javanese,jav,jv,爪哇语,Javaans,,javanès,,,,,,,,,,,,,,,,,,,,,,,,,,,
Irish,gle,ga,爱尔兰语,Iers,,irlandès,,,,,,,,,,,アイルランド語,아일랜드어,,,,,,,,,,,,,,,người Ireland
Swedish,swe,sv,瑞典语,Sweeds,,suec,,,,,,,,,,,スウェーデン語,스웨덴어,,,,,,,,,,,,,,,Thụy Điển
Cantonese,yue,,粤语,Kantonees,,cantonès,,,,,,,,,,,広東語,,,,,,,,,,,,,,,,
Romanian,ron,ro,罗马尼亚语,Roemeens,,romanès,,,,,,,,,,,ルーマニア語,루마니아어,,,,,,,,,,,,,,,Rumani
Lao,lao,lo,老挝语,Laotiaans,,laosià,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finnish,fin,fi,芬兰语,Fins,,finlandès,,,,,,,,,,,フィンランド語,핀란드어,,,,,,,,,,,,,,,Phần Lan
English,eng,en,英语,Engels,إنجليزي,anglès,,Αγγλικά,Englanti,Anglais,Béarla,अंग्रेज़ी,Engleski,Angol,,Inglese,英語,,Anglicus,,Engels,,Angielski,Inglês,Engleză,Aнглийский,Inglés,Енглеска,Kiingereza,Engelska,,ingilizce,
Dutch,nld,nl,荷兰语,Nederlands,,neerlandès,,,,,,,,,,,オランダ語,네덜란드어,,,,,,,,,,,,,,,tiếng Hà Lan
Portuguese,por,pt,葡萄牙语,Portugees,,portuguès,,,,,,,,,,,ポルトガル語,포르투갈어,,,,,,,,,,,,,,,tiếng Bồ Đào Nha
Spanish,spa,es,西班牙语,Spaans,,espanyol,,,,,,,,,,,スペイン語,스페인어,,,,,,,,,,,,,,,người Tây Ban Nha
Hausa,hau,ha,豪萨语,Hausa,,hausa,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arabic,ara,ar,阿拉伯语,Arabies,,àrab,,,,,,,,,,,アラビア語,아랍어,,,,,,,,,,,,,,,tiếng Ả Rập
Oromo,orm,om,阿方奥洛莫语,Oromo,,oromo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Korean,kor,ko,韩语,Koreaans,,coreà,,,,,,,,,,,韓国語,한국어,,,,,,,,,,,,,,,Hàn Quốc
Marathi,mar,mr,马拉提语,Marathi,,marathi,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malay,msa,ms,马来语,Maleis,,malai,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fula,ful,ff,富拉语,Fula,,fula,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guaraní,grn,gn,瓜拉尼语,Guaraní,,guaraní,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin,lat,la,拉丁语,Latyn,,llatí,,,,,,,,,,,ラテン語,라틴어,,,,,,,,,,,,,,,Latin
Middle Chinese,ltc,,中古汉语,Middel-Chinees,,xinès mitjà,,,,,,,,,,,中中国語,,,,,,,,,,,,,,,,
Old Chinese,och,,古汉语,Oud-Chinees,,xinès antic,,,,,,,,,,,旧中国語,,,,,,,,,,,,,,,,
Tok Pisin,tpi,,托克皮辛语,Tok Pisin,,tok pisin,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkish,tur,tr,土耳其语,Turks,,turc,,,,,,,,,,,トルコ語,터키어,,,,,,,,,,,,,,,Thổ Nhĩ Kỳ
Ukrainian,ukr,uk,乌克兰语,Oekraïens,,ucraïnès,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urdu,urd,ur,乌尔都语,Urdu,,urdú,,,,,,,,,,,ウルドゥー語,,,,,,,,,,,,,,,,
Uzbek,uzb,uz,乌兹别克语,Oezbeeks,,uzbek,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vietnamese,vie,vi,越南语,Viëtnamees,,vietnamita,,,,,,,,,,,ベトナム語,베트남어,,,,,,,,,,,,,,,Tiếng Việt
Czech,ces,cs,捷克语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovak,slk,sk,斯洛伐克语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Klingon,tlh,,克林贡语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Sign Language,ase,,美国手语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danish,dan,da,丹麦语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latvian,lav,lv,拉脱维亚语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuanian,lit,lt,立陶宛语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kazakh,kaz,kk,哈萨克语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tagalog,tgl,tl,他加禄语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungarian,hun,hu,匈牙利语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgarian,bul,bg,保加利亚语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galician,glg,gl,加利西亚语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Esperanto,epo,eo,世界语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbian,srp,sr,塞尔维亚语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romanian,ron,ro,罗马尼亚语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatian,hrv,hr,克罗地亚语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgian,kat,ka,格鲁吉亚语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Welsh,cym,cy,威尔士语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonian,est,et,爱沙尼亚语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolof,wol,wo,沃洛夫语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenian,hye,hy,亚美尼亚语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Icelandic,isl,is,冰岛语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarati,guj,gu,古吉拉特语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolian,mon,mn,蒙古语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breton,bre,br,布列塔尼语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marathi,mar,mr,马拉地语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin,lat,la,拉丁语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macedonian,mkd,mk,马其顿语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijani,aze,az,阿塞拜疆语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finnish,fin,fi,芬兰语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sundanese,sun,su,巽他语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Telugu,tel,te,泰卢固语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Punjabi,pan,pa,旁遮普语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbo-Croatian,hbs,sh,塞尔维亚-克罗地亚语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Sign Language,insl,,印度手语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montenegrin,cnr,,黑山语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urdu,urd,ur,乌尔都语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tibetan,bod,bo,藏语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarusian,bel,be,白俄罗斯语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Irish,gle,ga,爱尔兰语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burmese,mya,my,缅甸语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assamese,asm,as,阿萨姆语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kannada,kan,kn,卡纳达语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basque,eus,eu,巴斯克语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maori,mri,mi,毛利语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uzbek,uzb,uz,乌兹别克语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard Arabic,ara,ar,标准阿拉伯语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maltese,mlt,mt,马耳他语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luxembourgish,ltz,lb,卢森堡语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malayalam,mal,ml,马拉雅拉姆语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Kurdish,ckb,,中库尔德语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ancient Greek,grc,,古希腊语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scottish Gaelic,gla,gd,苏格兰盖尔语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amis,ami,,阿美语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albanian,sqi,sq,阿尔巴尼亚语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tatar,tat,tt,塔塔尔语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faroese,fao,fo,法罗语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khmer,khm,km,高棉语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lao,lao,lo,老挝语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sanskrit,san,sa,梵语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quechua,que,qu,克丘亚语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yoruba,yor,yo,约鲁巴语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norwegian Sign Language,nsl,,挪威手语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samoan,smo,sm,萨摩亚语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sinhalese,sin,si,僧伽罗语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somali,som,so,索马里语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Javanese,jav,jv,爪哇语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovene,slv,sl,斯洛文尼亚语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bashkir,bak,ba,巴什基尔语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kurdish,kur,ku,库尔德语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afrikaans,afr,af,南非荷兰语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amharic,amh,am,阿姆哈拉语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cebuano,ceb,,宿务语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Sign Language,fsl,,法国手语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Frisian,fry,fy,弗里西语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyrgyz,kir,ky,吉尔吉斯语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnian,bos,bs,波斯尼亚语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Occitan,oci,oc,奥克西坦语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sindhi,snd,sd,信德语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jingpho,kac,,景颇语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swahili,swa,sw,斯瓦希里语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yiddish,yid,yi,依地语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zulu,zul,zu,祖鲁语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Old Norse,non,,古诺尔斯语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepali,nep,ne,尼泊尔语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tigrinya,tir,ti,提格利尼亚语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kashubian,csb,,卡舒比安语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oromo,orm,om,奥罗莫语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dari,prs,,达里语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saramaccan,srm,,萨拉马卡语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scots,sco,,苏格兰语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alemannic German,gsw,,阿勒曼尼语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metlatónoc Mixtec,mxv,,梅特拉通米克特克语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ancient Hebrew,hbo,,古希伯来语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Farsi,pes,,西部波斯语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhojpuri,bho,,博杰普尔语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malagasy,mlg,mg,马达加斯加语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romansch,roh,rm,罗曼什语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Korean Sign Language,kvk,,韩国手语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sicilian,scn,,西西里语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crimean Tatar,crh,,克里米亚鞑靼语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hiligaynon,hil,,希利盖农语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Navajo,nav,nv,纳瓦霍语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coptic,cop,,科普特语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gothic,got,,哥特语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiang,hsn,,湘语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interlingua,ina,ia,国际语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karelian,krl,,卡雷利亚语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norwegian Bokmål,nob,nb,挪威博克马尔语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abkhaz,abk,ab,阿布哈兹语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lingala,lin,ln,林加拉语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norwegian Nynorsk,nno,nn,挪威尼诺斯克语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okinawan,ryu,,冲绳语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xhosa,xho,xh,科萨语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uyghur,uig,ug,维吾尔语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zhuang,zha,za,壮语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aynu,aib,,艾努语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guaraní,grn,gn,瓜拉尼语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hani,hni,,哈尼语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pashto,pus,ps,普什图语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yakut,sah,,萨哈语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower Silesian,sli,,下西里西亚语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tajik,tgk,tg,塔吉克语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Old English,ang,,古英语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puxian,cpx,,莆田话,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hausa,hau,ha,豪萨语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Min Bei,mnp,,闽北语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Old Japanese,ojp,,古日语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ainu,ain,,爱努语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jin,cjy,,晋语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenlandic,kal,kl,格陵兰语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ladino,lad,,拉迪诺语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achuar,acu,,阿丘亚尔语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aramaic,arc,,阿拉马语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower Sorbian,dsb,,下索布语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manx,glv,gv,马恩语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sichuan Yi,iii,ii,四川彝语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S'gaw Karen,ksw,,斯卡伦克伦语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle Chinese,ltc,,中古汉语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sumerian,sux,,苏美尔语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akkadian,akk,,阿卡德语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Awadhi,awa,,阿瓦地语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dzongkha,dzo,dz,宗喀语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friulian,fur,,弗留利语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chhattisgarhi,hne,,查蒂斯加尔语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kabyle,kab,,卡拜尔语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maithili,mai,,迈蒂利语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lhao Vo,mhx,,勒豪沃语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N'Ko,nqo,,滑蛮语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sardinian,srd,sc,撒丁尼亚语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Yugur,ybe,,西域裕固语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Lucian Creole French,acf,,圣露西亚克里奥尔法语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A'ou,aou,,奥乌语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aymara,aym,ay,艾马拉语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burushaski,bsk,,布鲁沙斯基语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basay,byq,,巴赛语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gan,gan,,赣语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea Kpelle,gkp,,几内亚克珀列语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Old High German,goh,,古高地德语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Igbo,ibo,ig,伊博语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inupiaq,ipk,ik,因纽皮亚克语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Konkani,kok,,谷氨基语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kpelle,kpe,,克培勒语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minangkabau,min,,米南卡保语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manipuri,mni,,曼尼普尔语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Old Chinese,och,,古汉语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Odia,ori,or,奥里雅语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pijin,pis,,皮金语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piedmontese,pms,,皮埃蒙特语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swazi,ssw,ss,斯威士语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venetian,vec,,威尼斯语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volapük,vol,vo,沃拉普克语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberia Kpelle,xpe,,利比里亚克珀列语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egyptian Arabic,arz,,埃及阿拉伯语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Min Zhong,czo,,闽中语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle English,enm,,中古英语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamaican Creole,jam,,牙买加克里奥尔英语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lakota,lkt,,拉科塔语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oscan,osc,,奥斯坎语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sindarin,sjn,,辛达林语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Sami,sme,se,北萨米语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tsakonian,tsd,,托萨科尼亚语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandarin,cmn,,官话,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hebrew,heb,he,希伯来语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
