locale,en,cmn-Hans,af,ar,de,el,fi,fr,ga,hi,hr,hu,id,it,ja,ko,nl,no,pl,pt,ro,ru,es,sw,sv,th,tr,vi,cat,sr-latn
sq,Albanian,阿尔巴尼亚语,Albanees,الالبانية,Albanisch,Αλβανική,albania,Albanais,Albáinis,अल्बेनियन,albanski,albán,Albania,Albanese,アルバニア語,알바니아어,Albanees,Albansk,albański,Albanês,Albaneză,албанский,albanés,Kialbania,Albanska,แอลเบเนีย,Arnavutça,Albania,albanès,albanski
sqk,Albanian Sign Language,阿尔巴尼亚手语,Albanese Gebaretaal,لغة الاشارات الألبانية,Albanische Gebärdensprache,Αλβανική Νοηματική Γλώσσα,albanialainen viittomakieli,Langue des signes albanaise,Teanga Chomharthaíochta na hAlbáine,अल्बेनियन साइन लैंग्वेज,albanski znakovni jezik,albán jelnyelv,Bahasa Isyarat Albania,Lingua dei segni albanese,アルバニア手話,알바니아 수어,Albanese Gebarentaal,Albansk tegnspråk,albański język migowy,Língua de sinais albanesa,Limbajul semnelor albanez,албанский жестовый,lenguaje de señas albanés,Lugha ya Ishara ya Albania,Albanskt teckenspråk,ภาษามือแอลเบเนีย,Arnavutluk İşaret Dili,Albania (Ngôn ngữ ký hiệu),llengua de signes albanesa,albanski znakovni jezik
alq,Algonquin,阿尔滚琴语,Algonkin,الالغونكوين,Algonkin,Αλγκόνκιν,algonkin,Algonquin,Algonquin,एल्गोनक्विन,algonkinski,algonkin,Algonquin,Algonchino,アルゴンキン語,알곤킨어,Algonquian,Algonkin,algonkiński,Algonquino,Algonkină,алгонкинский,algonquino,Kialgonkwin,Algonkinska,อัลกอนกิน,Algonkin,Algonquin,algonquí,algonkinski
gsw-x-ltn,Alsatian,阿尔萨斯语,Elsassies,الألزاسية,Elsässisch,Αλσατική,elsassi,Alsacien,Alsatian,Alsatian,alzaški,elzászi,Alsatian,Alsaziano,アルザス語,알자스어,Elzassisch,Alsasisk,alzacki,Alsaciano,Alsaciană,эльзасский,alsaciano,Alsatian,Elsassiska,อัลเซเทียน,Alsatian,Alsatian,alsacià,Alzaški
alt,Altai,阿尔泰语,Altaïes,الآلتائية,Altaisch,Αλταϊκή,altai,Altaï,Altaeis,अलताइ,altajski,altaji,Altai,Altai,アルタイ語,알타이어,Altaj,Altaisk,ałtajski,Altai,Altai,алтайский,altaico,kialtai,Altaiska,อัลไต,Altay,Altay,altai,altajski
alz,Alur,阿卢尔语,Alur,ألر,Alur,Αλούρ,alur,Alur,Alur,अलुर,alur,alur,Alur,Alur,アルール語,알루르어,Alur,Alur,alur,Alur,Alur,алур,aluro,Kialur,Alur,อะลูร์,Alur,Alur,alur,alurski
omb,Ambae (East),安拜语（东部）,Ambae (Oos),امبه (شرقية),Omba,Αμπάε (Ανατολική),ambae (itä-),Ambae de l’Est,Ambae (East),अम्बाई (पूर्वी),ambae (istočni),keleti ambae,Ambae (Timur),Ambae orientale,アンバエ語（東部）,암배어 (동부),Ambae (Oostelijk),Ambae (øst),ambae (wschodni),Ambae (leste),Ambae de est,амбаэ (восточный),ambae oriental,Kiambae (East),Aoba (östlig),แอมเบ (ตะวันออก),Ambae (Doğu),Ambae (Đông),ambae oriental,ambae (istočni)
ase,American Sign Language,美国手语,Amerikaanse Gebaretaal,لغة الاشارات الاميركية,Amerikanische Gebärdensprache,Αμερικανική Νοηματική Γλώσσα,amerikkalainen viittomakieli,Langue des signes américaine,Teanga Chomharthaíochta Mheiriceá,अमेरीकन साइन लैंग्वेज,američki znakovni jezik,amerikai jelnyelv,Bahasa Isyarat Amerika,Lingua dei segni americana,アメリカ手話,미국 수어,Amerikaanse Gebarentaal,Amerikansk tegnspråk,amerykański język migowy,Língua de sinais americana,Limbajul semnelor american,американский жестовый,lenguaje de señas americano,Lugha ya Ishara ya Marekani,Amerikanskt teckenspråk,ภาษามืออเมริกัน,Amerikan İşaret Dili,Hoa Kỳ (Ngôn ngữ ký hiệu),llengua de signes americana,američki znakovni jezik
am,Amharic,阿姆哈拉语,Amharies,الامهرية,Amharisch,Αμχαρική,amhara,Amharique,Amáiris,ऐमहैरिक,amharski,amhara,Amhara,Amarico,アムハラ語,암하라어,Amharisch,Amharisk,amharski,Amárico,Amharică,амхарский,amárico,Kiamhara,Amhariska,อัมฮาริก,Amhara Dili,Amharic,amhàric,amharski
ami,Amis,阿美语,Amis,الاميس,Ami,Άμις,amis,Amis,Amis,आमिस,amis,amisz,Amis,Ami,アミ語,아미어,Amis,Amis,ami,Amis,Ami,ами,amis,Kiamis,Amiska,อามิส,Amis Dili,Amis,amis,amis
amu,Amuzgo (Guerrero),阿穆斯戈语（格雷罗）,Amuzgo (Guerrero),اموزغو (غيريرو),Amuzgo (Guerrero),Αμούσγο (Γκερέρο),amuzgo (Guerrero),Amuzgo du Guerrero,Amuzgo (Guerrero),अमूज़गो (गरैरो),amuzgo (Guerrero),amuzgo (Guerrero),Amuzgo (Guerrero),Amuzgo (Guerrero),アムスゴ語（ゲレロ）,아무스고어 (게레로),Amuzgo (Guerrero),Amuzgo (Guerrero),amuzgo (Guerrero),Amuzgo (Guerrero),Amuzgo (Guerrero),амусго (Герреро),amuzgo de Guerrero,Kiamzgo (Guerrero),Amuzgo (Guerrero),อะมุซโก (เกร์เรโร),Amuzgo (Guerrero),Amuzgo (Guerrero),amuzgo (Guerrero),amuzgo (Gerero)
anm,Anal,阿纳尔语,Anal,أنال,Anal,Ανάλ,anal,Anal,Anal,Anal,anal,anal,Anal,Anal,アナル語,아날어,Anal,Anal,anal,Anal,Anal,анал,anal,Anal,Anal,อานัล,Anal,Anal,anal,Anal
sgn-ao,Angolan Sign Language,安哥拉手语,Angolese Gebaretaal,لغة الاشارات الانغولية,Angolanische Gebärdensprache,Νοηματική Γλώσσα της Ανγκόλας,angolalainen viittomakieli,Langue des signes angolaise,Teanga Chomharthaíochta Angóla,अंगोलन साइन लैंग्वेज,angolski znakovni jezik,angolai jelnyelv,Bahasa Isyarat Angola,Lingua dei segni angolana,アンゴラ手話,앙골라 수어,Angolese Gebarentaal,Angolansk tegnspråk,angolski język migowy,Língua de sinais angolana,Limbajul semnelor angolez,ангольский жестовый,lenguaje de señas angoleño,Lugha ya Ishara ya Angola,Angolanskt teckenspråk,ภาษามือแองโกลา,Angola İşaret Dili,Angola (Ngôn ngữ ký hiệu),llengua de signes angolesa,angolski znakovni jezik
any-ci,Anyin (Indenie),阿坎语（因德涅）,Anyin (Indenie),انيان (إندني),Anyi (Indenie),Ανιίν (Ιντενί),anyin (indenie),Agni indénié,Anyin (Indenie),Anyin (Indenie),anyin (indenie),anyi (indenie),Anyin (Indenie),Agni (Indenié),アニ語（インデニエ）,아니인어 (산비),Anyin (Indenie),Anyin (Indenie),anyi (indenie),Anyin (indenie),Anyin (Indenie),аньи (индение),anyin (indenie),Anyin (Indenie),Anyin (Indenie),อันยิน (อินเดนี),Anyi Dili (Indenie),Anyin (Indenie),anyi (indenie),Anjin (Indenie)
app,Apma,阿普语,Apma,ابما,Apma,Άπμα,apma,Apma,Apma,अपमा,apma,apma,Apma,Apma,アプマ語,아프마어,Apma,Apma,apma,Apma,Apma,апма,apma,Kiapma,Apma,แอปมา,Apma,Apma,apma,apma
ar,Arabic,阿拉伯语,Arabies,العربية,Arabisch,Αραβική,arabia,Arabe,Araibis,अरबी,arapski,arab,Arab,Arabo,アラビア語,아랍어,Arabisch,Arabisk,arabski,Árabe,Arabă,арабский,árabe,Kiarabu,Arabiska,อาหรับ,Arapça,Ả Rập,àrab,arapski
arq,Arabic (Algeria),阿拉伯语（阿尔及利亚）,Arabies (Algerië),العربية (اللهجة الجزائرية),Arabisch (Algerien),Αραβική (Αλγερία),arabia (Algeria),Arabe algérien,Araibis (an Ailgéir),अरबी (अल्जीरिया),arapski (Alžir),arab (Algéria),Arab (Aljazair),Arabo (Algeria),アラビア語（アルジェリア）,아랍어 (알제리),Arabisch (Algerije),Arabisk (Algerie),arabski (Algieria),Árabe (Argélia),Arabă (Algeria),арабский (Алжир),árabe de Argelia,Kiarabu (cha Algeria),Arabiska (Algeriet),อาหรับ (แอลจีเรีย),Arapça (Cezayir),Ả Rập (Algeria),àrab (Algèria),arapski (Alžir)
arz,Arabic (Egypt),阿拉伯语（埃及）,Arabies (Egipties),العربية (اللهجة المصرية),Arabisch (Ägypten),Αραβική (Αίγυπτος),arabia (Egypti),Arabe d’Égypte,Arabic (Egypt),अरबी (मिस्र),arapski (Egipat),arab (Egyiptom),Arab (Mesir),Arabo (Egitto),アラビア語（エジプト）,아랍어 (이집트),Arabisch (Egypte),Arabisk (Egypt),arabski (Egipt),Árabe (Egito),Arabă (Egipt),арабский (Египет),árabe de Egipto,Kiarabu (cha Misri),Arabiska (Egypten),อาหรับ (อียิปต์),Arapça (Mısır),Ả Rập (Ai Cập),àrab (Egipte),arapski (Egipat)
acm,Arabic (Iraq),阿拉伯语（伊拉克）,Arabies (Irak),العربية (اللهجة العراقية),Arabisch (Irak),Αραβική (Ιράκ),arabia (Irak),Arabe irakien,Arabic (Iraq),Arabic (Iraq),arapski (Irak),arab (Irak),Arab (Irak),Arabo (Iraq),アラビア語（イラク）,아랍어 (이라크),Arabisch (Irak),Arabisk (Irak),arabski (Irak),Árabe (Iraque),Arabă (Irak),арабский (Ирак),árabe (irak),Arabic (Iraq),Arabiska (Irak),อาหรับ (อิรัก),Arapça (Irak),Arabic (Iraq),àrab (Iraq),arapski (Irak)
ajp,Arabic (Jordan),阿拉伯语（约旦）,Arabies (Jordanië),العربية (اللهجة الأردنية),Arabisch (Jordanien),Αραβική (Ιορδανία),arabia (Jordania),Arabe jordanien,Arabic (Jordan),Arabic (Jordan),arapski (Jordan),arab (Jordánia),Arab (Yordania),Arabo (Giordania),アラビア語（ヨルダン）,아랍어 (요르단),Arabisch (Jordanië),Arabisk (Jordan),arabski (Jordania),Árabe (Jordânia),Arabă (Iordania),арабский (Иордания),árabe (Jordania),Arabic (Jordan),Arabiska (Jordanien),อาหรับ (จอร์แดน),Arapça (Ürdün),Arabic (Jordan),àrab (Jordània),arapski (Jordan)
apc,Arabic (Lebanon),阿拉伯语（黎巴嫩）,Arabies (Libanon),العربية (اللهجة اللبنانية),Arabisch (Libanon),Αραβική (Λίβανος),arabia (Libanon),Arabe libanais,Araibis (an Liobáin),अरबी (लेबनन),arapski (Libanon),arab (Libanon),Arab (Lebanon),Arabo (Libano),アラビア語（レバノン）,아랍어 (레바논),Arabisch (Libanon),Arabisk (Libanon),arabski (Liban),Árabe (Líbano),Arabă (Liban),арабский (Ливан),árabe del Líbano,Kiarabu (cha Lebanoni),Arabiska (Libanon),อาหรับ (เลบานอน),Arapça (Lübnan),Ả Rập (Li Băng),àrab (Líban),arapski (Liban)
ary,Arabic (Morocco),阿拉伯语（摩洛哥）,Arabies (Marokko),العربية (اللهجة المغربية),Arabisch (Marokko),Αραβική (Μαρόκο),arabia (Marokko),Arabe marocain,Araibis (Maracó),अरबी (मोरक्को),arapski (Maroko),arab (Marokkó),Arab (Maroko),Arabo (Marocco),アラビア語（モロッコ）,아랍어 (모로코),Arabisch (Marokko),Arabisk (Marokko),arabski (Maroko),Árabe (Marrocos),Arabă (Maroc),арабский (Марокко),árabe de Marruecos,Kiarabu (cha Morocco),Arabiska (Marocko),อาหรับ (โมร็อกโก),Arapça (Fas),Ả Rập (Morocco),àrab (Marroc),arapski (Maroko)
pga,Arabic (Sudanese Creole),阿拉伯语（苏丹克里奥尔语）,Arabies (Soedannese Kreools),العربية (لهجة جوبا),Arabisch (Sudanarabisch),Αραβική (σουδανική κρεολή),arabia (sudaninkreoli),Arabe de Djouba,Araibis (Speisialta),अरबी (सूडानी क्रियोल),arapski (sudanski kreolski),arab (szudáni kreol),Arab (Kreol Sudan),Arabo (creolo del Sudan),アラビア語（スーダン・クレオール）,아랍어 (수단 크레올어),Arabisch (Soedanees-creools),Arabisk (sudansk kreolsk),arabski (kreolski Sudanu),Árabe crioulo sudanês,Arabă (creolă sudaneză),арабский (суданский креольский),árabe criollo sudanés,Kiarabu (cha Pekee),Arabiska (sudanesisk kreol),อาหรับ (ซูดาน),Arapça (Sudan Kreolü),Ả Rập (Creole thuộc Sudan),àrab (crioll sudanès),arapski (sudanski kreol)
apd,Arabic (Sudanese),阿拉伯语（苏丹）,Arabies (Soedannees),العربية (اللهجة السودانية),Arabisch (Sudanesisch),Αραβική (Σουδανική),arabia (Sudan),Arabe soudanais,Arabic (Sudanese),Arabic (Sudanese),arapski (sudanski),arab (szudáni),Arab (Sudan),Arabo (Sudan),アラビア語（スーダン）,아랍어 (수단),Arabisch (Soedanees),Arabisk (sudansk),arabski (Sudan),Árabe (sudanês),Arabă (Sudan),арабский (суданский),árabe sudanés,Arabic (Sudanese),Arabiska (sudanesisk),อาหรับ (ซูดาน),Arabic (Sudanese),Arabic (Sudanese),àrab (sudanès),arapski (Sudanski)
apc-sy,Arabic (Syria),阿拉伯语（叙利亚）,Arabies (Sirië),العربية (اللهجة السورية),Arabisch (Syrien),Αραβική (Συρία),arabia (Syyria),Arabe syrien,Arabic (Syria),Arabic (Syria),arapski (Sirija),arab (Szíria),Arab (Siria),Arabo (Siria),アラビア語（シリア）,아랍어 (시리아),Arabisch (Syrië),Arabisk (Syria),arabski (Syria),Árabe (Síria),Arabă (Siria),арабский (Сирия),árabe (siria),Arabic (Syria),Arabiska (Syrien),อาหรับ (ซีเรีย),Arapça (Suriye),Arabic (Syria),àrab (Síria),arapski (Sirija)
aeb,Arabic (Tunisia),阿拉伯语（突尼斯）,Arabies (Tunisië),العربية (اللهجة التونسية),Arabisch (Tunesien),Αραβική (Τυνησία),arabia (Tunisia),Arabe tunisien,Araibis (an Túinéis),अरबी (तूनिसिया),arapski (Tunis),arab (Tunézia),Arab (Tunisia),Arabo (Tunisia),アラビア語（チュニジア）,아랍어 (튀니지),Arabisch (Tunesië),Arabisk (Tunisia),arabski (Tunezja),Árabe (Tunísia),Arabă (Tunisia),арабский (Тунис),árabe de Túnez,Kiarabu (cha Tunisia),Arabiska (Tunisien),อาหรับ (ตูนิเซีย),Arapça (Tunus),Ả Rập (Tunisia),àrab (Tunísia),arapski (Tunis)
aed,Argentinean Sign Language,阿根廷手语,Argentynse Gebaretaal,لغة الاشارات الارجنتينية,Argentinische Gebärdensprache,Νοηματική Γλώσσα της Αργεντινής,argentiinalainen viittomakieli,Langue des signes argentine,Teanga Chomharthaíochta na hAirgintíne,अर्जेन्टीनियन साइन लैंग्वेज,argentinski znakovni jezik,argentin jelnyelv,Bahasa Isyarat Argentina,Lingua dei segni argentina,アルゼンチン手話,아르헨티나 수어,Argentijnse Gebarentaal,Argentinsk tegnspråk,argentyński język migowy,Língua de sinais argentina,Limbajul semnelor argentinian,аргентинский жестовый,lengua de señas argentina,Lugha ya Ishara ya Argentina,Argentinskt teckenspråk,ภาษามืออาร์เจนตินา,Arjantin İşaret Dili,Argentina (Ngôn ngữ ký hiệu),llengua de signes argentina,argentinski znakovni jezik
arh,Arhuaco,阿尔瓦科语,Arhuaco,ارهيواكو,Aruakan,Αρχουάκο,arhuaco,Arhuaco,Arhuaco,अरहुआको,arhuaco,ijka,Arhuaco,Arhuaco,アルアコ語,아르화코어,Arhuaco,Arhuaco,arhuaco,Arhuaco,Arhuaco,аруако,arhuaco,Kiarhuaco,Arhuaco,อาฮัวโก,Arhuaco,Arhuaco,arhuaco,aruako
hy,Armenian,亚美尼亚语,Armeens,الارمنية,Armenisch,Αρμενική,armenia,Arménien,Airméinis,आर्मीनियन,armenski,örmény,Armenia,Armeno,アルメニア語,아르메니아어,Armeens,Armensk,ormiański,Armênio,Armeană,армянский,armenio,Kiarmenia,Armeniska (östlig),อาร์เมเนีย,Ermenice,Armenia,armeni,jermenski
hy-x-krb,Armenian (Eastern dialect),亚美尼亚语（东部方言）,Armeens (Oosterse dialek),الارمنية (الشرقية),Armenisch (Östlicher Dialekt),Αρμενική (Ανατολική διάλεκτος),armenia (itämurre),Arménien oriental,Armenian (Eastern dialect),Armenian (Eastern dialect),armenski (istočno narječje),keleti örmény,Armenia (dialek Timur),Armeno (dialetto orientale),アルメニア語（東方言）,아르메니아어 (동부 방언),Armeens (Oostelijk dialect),Armensk (østlig dialekt),ormiański (dialekt wschodni),Armênio (dialeto oriental),Armeana de est,армянский (восточный диалект),armenio oriental,Armenian (Eastern dialect),Armeniska (östlig dialekt),อาร์เมเนีย (ภาษาถิ่นตะวันออก),Ermenice (Doğu),Karabakh,armeni oriental,jermenski (istočni dijalekat)
hyw,Armenian (West),亚美尼亚语（西部）,Armeens (Wes),الارمنية (الغربية),Armenisch (Westarmenisch),Αρμενική (δυτική),armenia (länsi-),Arménien occidental,Airméinis (Thiar),आर्मीनियन (पश्‍चिम),armenski (zapadni),nyugati örmény,Armenia (Barat),Armeno occidentale,西アルメニア語,아르메니아어 (서부),Armeens (Westelijk),Vestarmensk,zachodnioormiański,Armênio (ocidental),Armeana de vest,армянский (западный),armenio occidental,Kiarmenia (cha Magharibi),Armeniska (väst),อาร์เมเนีย (ตะวันตก),Ermenice (Batı),Armenia (phía tây),armeni occidental,jermenski (zapadni)
aen,Armenian Sign Language,亚美尼亚手语,Armeense Gebaretaal,لغة الاشارات الارمنية,Armenische Gebärdensprache,Αρμενική Νοηματική Γλώσσα,armenialainen viittomakieli,Langue des signes arménienne,Armenian Sign Language,Armenian Sign Language,armenski znakovni jezik,örmény jelnyelv,Bahasa Isyarat Armenia,Lingua dei segni armena,アルメニア手話,아르메니아 수어,Armeense Gebarentaal,Armensk tegnspråk,armeński język migowy,Língua de sinais armênia,Limbajul semnelor armean,армянский жестовый,lenguaje de señas armenio,Armenian Sign Language,Armeniskt teckenspråk,ภาษามืออเมริกัน,Ermeni İşaret Dili,Armenia (Ngôn ngữ ký hiệu),llengua de signes armènia,jermenski znakovni jezik
aia,Arosi,阿罗西语,Arosi,اروزي,Arosi,Αρόσι,arosi,Arosi,Arosi,अरोसी,arosi,aroszi,Arosi,Arosi,アロシ語,아로시어,Arosi,Arosi,arosi,Arosi,Arosi,ароси,arosi,Kiarosi,Arosi,อะโรซี,Arosi Dili,Arosi,arosi,arosi
cni,Ashaninka,阿沙凝卡语,Ashaninka,اشانينكا,Asháninca-Campa,Ασανίνκα,ashaninka,Asháninka,Ashaninka,आशानिनका,ašaninka,kampa,Ashaninka,Ashaninka,アシャニンカ語,아샤닌카어,Ashaninka,Ashaninka,ashaninka,Ashaninka,Ashaninka,ашанинка,asháninka,Kiashaninka,Ashaninka,อาชานินกา,Ashaninka Dili,Ashaninka,ashaninca,Ašaninka
as,Assamese,阿萨姆语,Assamees,الآسامية,Assamesisch,Ασαμική,assami,Assamais,Asaimis,असमी,asamski,asszámi,Assamese,Assamese,アッサム語,아삼어,Assami,Assamisk,asamski,Assamês,Assameză,ассамский,asamés,Kiassame,Assamesiska,อัสสัม,Assam Dili,Assam,assamès,asamski
aii,Assyrian,亚述语,Assiries,الاشورية,Assyrisch,Ασσυριακή,assyria,Assyrien,Aisiris,असीरीयन,asirski,asszír,Asiria,Assiro,アッシリア語,아시리아어,Assyrisch,Assyrisk,asyryjski,Assírio,Asiriană,ассирийский,asirio,Kiashuru,Assyriska,อัสซีเรีย,Süryanice,Assyria,assiri,asirski
cld,Assyro-Chaldean (Silopi),亚述－迦勒底语（锡洛皮）,Assiries-Chaldeeus (Silopi),الاشورية-الكلدانية (سيلوبي),Assyro-Chaldäisch (Silopi),Ασσυροχαλδαϊκή (σιλόπι),assyrialais-kaldea (Silopi),Assyro-Chaldéen (de Silopi),Assyro-Chaldean (Silopi),Assyro-Chaldean (Silopi),asiro-kaldejski (Silopi),asszír-káld (Silopi),Assyro-Chaldean (Silopi),Asiro-caldeo (Silopi),アッシリア・カルデア語（シロピ）,아시리아 칼데아어 (실로피),Assyrisch-Chaldeeuws (Silopi),Assyrisk-kaldeisk (Silopi),asyro-chaldejski (Silopi),Assírio-caldeu (silopi),Asiro-caldeeană (Silopi),ассиро-халдейский (Силопи),asirio caldeo de Silopi,Assyro-Chaldean (Silopi),Assyro-kaldeiska (Silopi),อัสซีโร-แคลเดียน (ซีโลปี),Keldani Süryanicesi (Silopi),Assyro-Chaldean (Silopi),assiri caldeu de Silopi,asirsko-haldejski (Silopi)
