iso639-3,url
boi,barbareno.htm
bos,bosnian.htm
bot,bongo.htm
bph,botlikh.htm
bqj,bandial.htm
bqp,busa.htm
bre,breton.htm
brl,nsotho.htm
brx,bodo.htm
bsk,burushaski.php
bsq,bassa.htm
bua,buryat.htm
buc,bushi.htm
bug,bugis.htm
bul,bulgarian.htm
bum,bulu.htm
bwi,baniwa.htm
bxh,buhutu.htm
bxr,soyot.htm
bya,batak.htm
byn,blin.htm
bzd,bribri.htm
bzi,bisu.htm
caa,chorti.htm
cab,garifuna.htm
cad,caddo.htm
cae,laalaa.htm
cak,kaqchikel.htm
cat,catalan.htm
cay,cayuga.php
cbi,chapalaachi.htm
cbk,chavacano.php
cbr,kashibo.htm
cbs,kashinawa.htm
cbt,chayahuita.htm
cbu,candoshishapra.htm
ccc,chamicuro.htm
cco,chinanteco.htm
ccp,chakma.htm
cdh,takri.htm
ceb,cebuano.htm
ces,czech.htm
cgc,kagayanen.htm
cha,chamorro.htm
che,chechen.htm
chg,chagatai.htm
chh,chinook.htm
chj,chinanteco.htm
chk,chuukese.htm
chl,ivilyuat.htm
chm,mari.htm
chn,chinookjargon.htm
cho,choctaw.htm
chp,chipewyan.htm
chq,chinanteco.htm
chr,cherokee.htm
chu,ocslavonic.htm
chv,chuvash.htm
chy,cheyenne.htm
chz,chinanteco.htm
cia,ciacia.htm
cic,chickasaw.htm
cim,cimbrian.htm
ciw,chippewa.htm
cja,cham.htm
cje,chru.htm
cji,chamalal.htm
cjk,chokwe.htm
cjm,cham.htm
cjo,asheninka.htm
cjp,cabecar.htm
cjs,shor.htm
ckt,chukchi.htm
cku,koasati.htm
ckv,kavalan.htm
clc,chilcotin.htm
cld,chaldeanneoaramaic.htm
cle,chinanteco.htm
clk,idumishmi.htm
clm,klallam.htm
clu,caluyanon.htm
cmn,../chinese/mandarin.htm
cmr,mro.htm
cni,ashaninka.htm
cnl,chinanteco.htm
cnr,montenegrin.htm
cnt,chinanteco.htm
coc,cocopah.htm
cof,tsafiki.htm
cok,cora.htm
com,comanche.htm
con,cofan.htm
coo,comox.htm
cop,coptic.htm
cor,cornish.htm
cos,corsican.htm
cot,caquinte.htm
cox,nanti.htm
cpa,chinanteco.htm
cpb,asheninka.htm
cpc,asheninka.htm
cpg,greek.htm
cpu,asheninka.htm
cpx,../chinese/puxian.htm
cpy,asheninka.htm
crd,coeurdalene.htm
cre,cree.htm
crg,michif.htm
crh,crimeantatar.php
crn,cora.htm
cro,crow.htm
crs,seselwa.htm
crw,chrau.htm
crx,carrier.htm
csa,chinanteco.htm
csb,kashubian.htm
cso,chinanteco.htm
css,mutsun.htm
ctd,tedim.htm
cte,chinanteco.htm
ctl,chinanteco.htm
ctm,chitimacha.htm
ctu,chol.htm
cub,cubeo.htm
cuc,chinanteco.htm
cuk,kuna.htm
cuu,taiya.htm
cvn,chinanteco.htm
cym,welsh.htm
cyo,cuyonon.htm
dag,dagbani.htm
dan,danish.htm
dar,dargwa.htm
ddd,dongotono.htm
ddo,tsez.htm
dec,dengebu.htm
deu,german.htm
dga,dagaare.htm
dgc,casiguran.htm
dgd,dagaare.htm
dgi,dagaare.htm
dgr,tlicho.htm
dgz,daga.htm
dhs,kamda.htm
dhv,drehu.php
dih,tiipai.htm
din,dinka.php
div,thaana.htm
djd,jaminjung.htm
dje,zarma.htm
djk,ndjuka.htm
dlg,dolgan.htm
dlm,dalmatian.htm
dng,../chinese/dungan.htm
doi,takri.htm
drl,paakantyi.htm
dsb,sorbian.htm
dta,daur.htm
dtd,ditidaht.htm
dtp,kadazandusun.htm
dua,duala.php
duf,ndrumbea.htm
duo,dupaningan.htm
duu,drung.htm
dyo,jolafonyi.htm
dyu,nko.htm#dioula
dzg,daza.htm
dzo,dzongkha.php
efi,efik.htm
egl,emilian-romagnol.htm
eko,koti.htm
eky,kayahli.htm
ell,greek.htm
elx,elamite.htm#cuneiform
emk,mwangwego.htm
ems,alutiiq.htm
end,ende.htm
enf,enets.htm
eng,english.htm
epo,esperanto.htm
esi,inupiaq.php
esk,inupiaq.php
est,estonian.htm
esu,yupik.htm
ett,etruscan.htm
eus,basque.htm
eve,even.htm
evn,evenki.htm
ewe,ewe.htm
ewo,ewondo.php
ext,extremaduran.htm
eya,eyak.php
fan,fang.htm
fao,faroese.htm
fas,persian.htm
fax,fala.htm
fia,nobiin.htm
fij,fijian.htm
fin,finnish.htm
fkv,kven.htm
fla,salish.htm
fng,fanagalo.htm
fon,fon.htm
fra,french.htm
frp,francoprovencal.htm
frr,northfrisian.htm
fry,westfrisian.htm
fub,adamaua.htm
fud,futunan.htm
ful,fula.htm
fur,friulian.htm
fvr,fur.htm
gaa,ga.htm
gag,gagauz.htm
gal,galoli.htm
gan,../chinese/gan.htm
gbj,gadaba.htm
gbm,garhwali.htm
gcc,mali.htm
gcf,guadeloupean.php
gcr,guyanais.htm
gdi,baka.htm
gdo,godoberi.htm
gez,ethiopic.htm
ggd,gugadja.php
gha,ghadames.htm
gho,ghomara.htm
gia,gija.htm
gil,kiribati.htm
gin,hinukh.htm
git,gitxsan.htm
gjn,gonja.htm
gla,gaelic.htm
gld,nanai.htm
gle,irish.htm
glg,galician.htm
glk,gilaki.htm
glv,manx.htm
gmy,greek.htm
gnc,guanche.htm
gni,gooniyandi.php
gnz,baka.htm
gon,gondi.htm
got,gothic.htm
grc,greek.htm
grj,jabo.htm
grn,guarani.htm
grt,garo.htm
gsw,swissgerman.htm
guc,wayuu.php
guj,gujarati.htm
gum,guambiano.htm
gup,bininjkunwok.htm
gvc,guanano.htm
gwd,gawwada.htm
gwi,gwichin.php
gwj,gui.htm
gwr,gwere.htm
gxx,guere.htm
gym,guaymi.htm
haa,han.htm
hai,haida.htm
haj,hajong.htm
hak,../chinese/hakka.htm
har,harari.htm
has,haisla.htm
hat,haitiancreole.htm
hau,hausa.htm
haw,hawaiian.htm
haz,hazaragi.htm
hch,huichol.htm
hea,hmu.htm
heb,hebrew.htm
hei,heiltsuk.htm
her,herero.php
hgm,khoekhoe.htm
hid,hidatsa.htm
hif,fijihindi.htm
hil,hiligaynon.htm
hin,hindi.htm
hit,hittite.htm
hix,hixkaryana.htm
hlu,luwian.htm
hma,mashanmiao.htm
hmd,ahmao.htm
hml,luobohemiao.htm
hmm,mashanmiao.htm
hmn,hmong.htm
hmp,mashanmiao.htm
hmq,hmu.htm
hmr,hmar.htm
hms,hmu.htm
hmw,mashanmiao.htm
hni,hani.htm
hnj,hmongnjua.htm
hnn,hanunoo.htm
hns,sarnami.htm
hoa,hoava.htm
hoc,varangkshiti.htm
hop,hopi.htm
hrv,croatian.htm
hrx,hunsrik.htm
hsb,sorbian.htm
hsn,../chinese/xiang.htm
hub,huambisa.htm
huc,amkoe.htm
hun,hungarian.htm
hup,hupa.htm
hur,halkomelem.htm
hus,huasteco.htm
huu,muruihuitoto.htm
huz,hunzib.htm
hye,armenian.htm
iba,iban.htm
ibb,ibibio.htm
ibo,igbo.htm
ido,ido.htm
ifa,ifugao.htm
ifb,ifugao.htm
ifk,ifugao.htm
ifu,ifugao.htm
igs,interglossa.htm
iii,yi.htm
iku,inuktitut.htm
ikz,ikizu.htm
ilo,ilocano.htm
ina,interlingua.htm
inb,kichwa.htm
ind,indonesian.htm
Indi,inupiaq.php
ing,degxinag.htm
inh,ingush.htm
inj,kichwa.htm
ior,inor.htm
iow,chiwere.htm
ipk,inupiaq.php
irk,iraqw.htm
iru,irula.htm
isd,isnag.htm
isk,ishkashimi.htm
isl,icelandic.htm
ist,istriot.htm
ita,italian.htm
itl,itelmen.htm
ium,iumien.htm
ivv,ivatan.htm
ixl,ixil.htm
izh,ingrian.htm
jac,jakaltek.htm
jae,yabem.htm
jam,jamaican.php
jav,javanese.htm
jbo,lojban.htm
jct,krymchak.htm
jdt,juhuri.htm
jig,jingulu.htm
jit,jita.htm
jiv,shuar.htm
jje,jeju.htm
jmr,kammara.htm
jmx,mixtec.htm
jod,mwangwego.htm
jpn,japanese_language.htm
jqr,jaqaru.htm
jra,jarai.htm
jrb,judeo-arabic.htm
jud,mwangwego.htm
kaa,karakalpak.php
kab,kabyle.php
kac,jingpho.htm
kal,greenlandic.htm
kam,kamda.htm
kan,kannada.htm
kap,bezhta.htm
kaq,shipibo.htm
kar,karen.htm
kas,kashmiri.htm
kat,georgian.htm
kau,kanuri.htm
kaz,kazakh.htm
kbd,kabardian.htm
kbo,keliko.htm
kca,khanty.htm
kcp,kanga.htm
kde,makonde.htm
kdj,karamojong.php
kdr,karaim.htm
kdx,kam.htm
kea,kriol.php
kec,keiga.htm
kee,keres.htm
kek,qeqchi.htm
ket,ket.htm
key,kupia.htm
kfa,coorgicox.htm
kfb,kolam.htm
kfc,konda.htm
kff,koya.htm
kfo,mwangwego.htm
kfr,kutchi.htm
kga,mwangwego.htm
kge,lampung.htm
kgk,kaiwa.htm
kgo,krongo.htm
kgp,kaingang.php
kha,khasi.htm
khb,tailue.htm
khm,khmer.htm
khv,khwarshi.htm
khw,khowar.htm
kic,kickapoo.htm
kik,kikuyu.htm
kim,tofa.htm
kin,kinyarwanda.htm
kir,kirghiz.htm
kiz,kisi.htm
kjb,qanjobal.htm
kjh,khakas.htm
kjj,khinalug.htm
kjn,kunjen.htm
kjq,keres.htm
kju,kashaya.htm
kkh,khun.htm
kky,guuguyimithirr.htm
kkz,kaska.htm
kla,klamath.htm
klb,kiliwa.htm
kld,gamilaraay.htm
klv,maskelynes.htm
kmb,kimbundu.htm
kmm,komrem.htm
kmz,khorasaniturkic.htm
kne,kankanaey.htm
knf,mankanya.htm
knj,akatek.htm
knw,ekokakung.htm
kok,konkani.htm
kom,oldpermic.htm
kon,kongo.htm
koo,konjo.htm
kor,korean.htm
koy,koyukon.htm
kpe,kpelle.htm
kpg,kapingamarangi.htm
kpt,karata.htm
kpy,koryak.htm
kqf,kakabai.htm
kqs,kissi.htm
krc,balkar.htm
kri,krio.htm
krj,kinaraya.htm
krl,karelian.htm
kru,tolongsiki.htm
kry,kryts.htm
ksh,ripuarian.htm
kss,kissi.htm
ktm,kurti.htm
kto,kuot.htm
ktu,kituba.htm
ktz,juhoan.htm
kua,oshiwambo.php
kud,auhelawa.htm
kum,kumyk.php
kur,kurdish.htm
kut,kutenai.htm
kuu,dinaki.htm
kva,bagvalal.htm
kvc,kove.htm
kvn,kuna.htm
kvr,kerinci.htm
kvy,kayahli.htm
kwi,awapit.htm
kwk,kwakwala.htm
kwm,oshiwambo.php
kxf,kayahli.htm
kxm,northernkhmer.htm
kxv,jatapu.htm
kyh,karuk.htm
kyu,kayahli.htm
lac,lacandon.htm
lad,ladino.htm
lao,lao.htm
lat,latin2.htm
lav,latvian.htm
lay,bai.htm
lbe,lak.htm
lbj,ladakhi.htm
lbo,jru.htm
lbw,tolaki.htm
ldd,luri.htm
lep,lepcha.htm
lew,ledokaili.htm
lez,lezgi.htm
lfn,lfn.htm
lgg,lugbara.htm
lhu,lahu.htm
lia,limba.htm
lie,occidental.htm
lif,limbu.htm
lil,lillooet.htm
lim,limburgish.htm
lin,lingala.htm
lis,fraser.htm
lit,lithuanian.htm
liv,livonian.htm
ljl,ende.htm
ljp,lampung.htm
lkt,sioux.htm
lky,lokoya.htm
lld,ladin.htm
lln,lele.htm
lma,limba.htm
lmd,lumun.htm
lml,raga.htm
lmn,sugali.htm
lmo,lombard.htm
lnb,oshiwambo.php
loh,narim.htm
lom,loma.htm
lot,lotuko.htm
loz,lozi.htm
lpo,lipo.htm
lpx,lopit.htm
ltg,latgalian.htm
ltz,luxembourgish.htm
lua,tshiluba.php
luc,aringa.htm
lud,ludic.htm
lug,ganda.php
lui,luseno.htm
lul,olubo.htm
luo,dholuo.php
lus,mizo.htm
lut,lushootseed.htm
lzz,laz.htm
maa,mazatec.htm
mab,mixtec.htm
mad,madurese.htm
mag,magahi.htm
mah,marshallese.php
mai,maithili.htm
maj,jalapamazatec.htm
mak,makassarese.htm
mal,malayalam.htm
mam,mam.htm
maq,chiquihuitlanmazatec.htm
mar,marathi.htm
mas,maasai.htm
mau,mazatec.htm
maz,mazahua.htm
mbc,macushi.htm
mbt,matigsalug.htm
mbz,mixtec.htm
mcb,machiguenga.htm
mce,mixtec.htm
mdd,mbum.htm
mdf,moksha.htm
mdr,mandar.htm
mdv,mixtec.htm
mdx,dizin.htm
meh,mixtec.htm
men,mende.htm
mep,miriwoong.htm
met,mato.htm
meu,motu.htm
mev,mano.htm
mez,menominee.htm
mfe,mauritiancreole.htm
mfy,mayo.htm
mgc,morokodo.htm
mgd,moru.htm
mhi,madi.htm
mhn,mocheno.htm
mhq,mandan.htm
mhu,digaro.htm
mia,miami.php
mib,mixtec.htm
mic,mikmaq.htm
mid,mandaic.htm
mie,mixtec.htm
mig,mixtec.htm
mih,mixtec.htm
mii,mixtec.htm
mik,mikasuki.htm
mil,mixtec.htm
mim,mixtec.htm
min,minangkabau.htm
mio,mixtec.htm
mip,mixtec.htm
miq,miskito.htm
mit,mixtec.htm
miu,mixtec.htm
mix,mixtec.htm
miy,mixtec.htm
miz,mixtec.htm
mjc,mixtec.htm
mjg,monguor.htm
mjw,karbi.htm
mkd,macedonian.htm
mkf,miya.htm
mkj,mokilese.htm
mks,mixtec.htm
mku,maninka.htm
mkw,kituba.htm
mld,neomandaic.htm
mlg,malagasy.htm
mlt,maltese.htm
mlu,toqabaqita.htm
mlv,mwotlap.htm
mlz,aklan.htm
mmc,mazahua.htm
mmk,mukhadora.htm
mmr,qoxiong.htm
mna,mbula.htm
mnb,muna.htm
mnc,manchu.htm
mni,manipuri.htm
mnk,mandinka.htm
mns,mansi.htm
mnv,rennellese.htm
mnw,mon.htm
moe,montagnais.php
moh,mohawk.htm
mol,moldovan.htm
mon,mongolian.htm
mos,mossi.htm
mov,mojave.htm
mpg,marba.htm
mph,maung.htm
mpj,martuwangka.htm
mpm,mixtec.htm
mqh,mixtec.htm
mqn,moronene.htm
mqy,manggarainese.htm
mrc,maricopa.htm
mri,maori.htm
mrv,mangareva.htm
mrw,maranao.htm
msa,malay.htm
msb,masbateno.htm
msc,mwangwego.htm
mse,musey.htm
msn,vures.htm
mtd,mualang.htm
mtq,muong.htm
mtu,mixtec.htm
mtx,mixtec.htm
mui,musi.htm
muq,qoxiong.htm
mus,creek.htm
mvg,mixtec.htm
mvp,duri.htm
mwc,are.htm
mwf,murrinh-patha.php
mwl,mirandese.htm
mwp,kalalagawya.htm
mwr,marwari.htm
mww,hmongdau.htm
mxa,mixtec.htm
mxb,mixtec.htm
mxe,mele-fila.htm
mxj,miju.htm
mxs,mixtec.htm
mxt,mixtec.htm
mxv,mixtec.htm
mxx,mwangwego.htm
mxy,mixtec.htm
mya,burmese.htm
myh,makah.htm
myp,piraha.php
myv,erzya.htm
mza,mixtec.htm
mzi,mazatec.htm
mzj,mwangwego.htm
mzn,mazandarani.htm
nag,nagamese.php
nan,../chinese/taiwanese.htm
nap,neapolitan.php
naq,khoekhoe.htm
nau,nauruan.htm
nav,navajo.htm
naz,nahuatl.htm
nbc,chang.htm
nbl,ndebele.php
ncg,nisgaa.htm
nch,nahuatl.htm
nci,nahuatl.htm
ncj,nahuatl.htm
ncl,nahuatl.htm
ncx,nahuatl.htm
ncz,natchez.htm
nde,sindebele.htm
ndo,oshiwambo.php
nds,lowgerman.htm
neg,negidal.htm
neo,hmu.htm
nep,nepali.htm
new,ranjana.htm
nfa,dhao.htm
ngh,niuu.htm
ngi,ngizim.htm
ngu,nahuatl.htm
nhc,nahuatl.htm
nhe,nahuatl.htm
nhg,nahuatl.htm
nhi,nahuatl.htm
nhk,nahuatl.htm
nhm,nahuatl.htm
nhn,nahuatl.htm
nhp,nahuatl.htm
nhq,nahuatl.htm
nhr,naro.htm
nht,nahuatl.htm
nhv,nahuatl.htm
nhw,nahuatl.htm
nhx,nahuatl.htm
nhy,nahuatl.htm
nhz,nahuatl.htm
nia,nias.htm
nio,nganasan.htm
niu,niuean.php
niv,nivkh.htm
njm,angami.htm
nkr,nukuoro.htm
nld,dutch.htm
nln,nahuatl.htm
nlv,nahuatl.htm
nmf,tangkhul.htm
nmn,taa.htm
nne,oshiwambo.php
nod,lanna.htm
nog,nogai.htm
nom,kashibo.htm
non,oldnorse.htm
nor,norwegian.htm
nno,norwegian.htm
not,nomatsiguenga.htm
nov,novial.htm
npl,nahuatl.htm
npo,pochuri.htm
nrf,jerriais.htm
nrn,norn.htm
nsk,naskapi.php
nso,nsotho.htm
nsu,nahuatl.htm
ntj,ngaanyatjarra.htm
ntp,tepehuan.htm
nuf,nushu.htm
nuj,nyole.htm
nuk,nuuchahnulth.htm
num,niuafoou.htm
nup,nupe.htm
nus,nuer.htm
nuy,nunggubuyu.htm
nuz,nahuatl.htm
nwx,ranjana.htm
nxq,naxi.htm
nya,chichewa.php
nyn,nkore.htm
nys,noongar.php
nzi,nzema.htm
oaa,orok.htm
oac,oroch.htm
oav,avar.htm
oci,occitan.htm
oji,ojibwe.htm
ojs,ojicree.htm
oka,okanagan.htm
oma,omaha.htm
omw,tairoa.htm
ona,ona.htm
one,oneida.htm
ono,onondaga.htm
onw,oldnubian.htm
ood,oodham.htm
oon,onge.htm
orh,oroqen.htm
ori,kotia.htm
orm,oromo.htm
ory,oriya.htm
osa,osage.php
oss,ossetian.htm
ote,otomi.htm
otk,orkhon.htm
otl,otomi.htm
otm,otomi.htm
otn,otomi.htm
otq,otomi.htm
ots,otomi.htm
ott,otomi.htm
otw,ottawa.htm
otx,otomi.htm
otz,otomi.htm
oui,orkhon.htm
ovd,elfdalian.htm
pag,pangasinan.htm
pam,kapampangan.php
pan,punjabi.htm
pao,northernpaiute.htm
pap,papiamento.php
par,timbisha.htm
pau,palauan.htm
paw,pawnee.htm
pbb,paez.htm
pbg,paraujuano.htm
pbm,mazatec.htm
pcc,bouyei.htm
pcd,picard.htm
pci,porja.htm
pck,paite.htm
pdc,pennsylvaniagerman.htm
peb,pomo.htm
pej,northernpomo.htm
peq,southernpomo.htm
pgd,kharosthi.htm
phn,phoenician.htm
pio,piapoco.htm
pis,pijin.htm
piv,vaeakautaumako.htm
pjt,pitjantjatjara.htm
pkp,pukapukan.htm
plg,pilaga.htm
pli,pali.htm
plj,polci.htm
pll,palaung.htm
pln,palenquero.htm
plz,palula.htm
pma,paama.htm
pms,piedmontese.htm
pnk,pauna.htm
pnt,pontic.htm
pny,pinyin.htm
pol,polish.htm
pon,pohnpeian.htm
poo,centralpomo.htm
por,portuguese.htm
pot,potawatomi.htm
pov,guineabissaucreole.htm
ppi,paipai.htm
ppl,pipil.htm
pqm,malecitepassamaquoddy.htm
pri,paici.htm
prq,asheninka.htm
prs,dari.htm
pus,pashto.htm
pwi,patwin.htm
pwn,paiwan.htm
qua,quapaw.htm
quc,kiche.htm
qud,kichwa.htm
que,quechua.htm
qug,kichwa.htm
quh,southbolivianquechua.htm
qup,kichwa.htm
quw,kichwa.htm
qvi,kichwa.htm
qvj,kichwa.htm
qvo,kichwa.htm
qvz,kichwa.htm
qxl,kichwa.htm
qxq,qashqai.htm
qxr,kichwa.htm
rad,rade.htm
raj,rajasthani.htm
rap,rapanui.htm
rar,rarotongan.htm
rcf,reunioncreole.htm
rej,redjang.htm
rgn,emilian-romagnol.htm
rhg,rohingya.htm
rif,rifian.htm
rki,arakanese.htm
rmt,domari.htm
rmz,marma.htm
rng,ronga.htm
roh,romansh.htm
rom,romani.htm
ron,romanian.htm
roo,rotokas.php
row,westernrote.htm
rtm,rotuman.php
rue,rusyn.htm
rug,roviana.htm
run,kirundi.php
rup,aromanian.htm
ruq,meglenoromanian.htm
rus,russian.htm
rut,rutul.htm
ryu,okinawan.php
sac,fox.htm
sag,sango.php
sah,yakut.htm
san,sanskrit.htm
sas,sasak.htm
sat,santali.htm
sav,safen.htm
saz,saurashtra.htm
sbe,saliba.htm
sbl,botolan.htm
sce,santa.htm
scf,guadeloupean.php
scl,shina.htm
scn,sicilian.htm
sco,scots.htm
scs,northslavey.htm
sda,torajasadan.htm
sdb,shabaki.php
seb,supyire.htm
sed,sedang.htm
see,seneca.htm
seh,sena.htm
sei,seri.htm
sek,sekani.htm
sel,selkup.htm
ser,serrano.htm
sey,secoya.htm
sgh,shughni.htm
sgp,jingpho.htm
sgy,sanglechi.htm
she,sheko.htm
shh,shoshone.htm
shi,shilha.htm
shk,shilluk.htm
shn,shan.htm
shp,shipibo.htm
shs,shuswap.htm
shy,shawiya.htm
sia,saami.htm
sin,sinhala.htm
sip,sikkimese.htm
sjd,kildinsami.htm
sje,pitesami.htm
sjk,saami.htm
sjo,xibe.htm
sjr,siar.htm
sjt,tersami.htm
sju,umesami.htm
sjw,shawnee.php
skr,saraiki.htm
sku,sakao.htm
sky,sikaiana.htm
slk,slovak.htm
slm,beli.htm
slr,salar.htm
slv,slovene.htm
sma,southernsami.htm
sme,northernsami.htm
smj,lulesami.htm
smk,bolinao.htm
sml,centralsinama.htm
smn,inarisami.htm
smo,samoan.htm
smp,samaritan.htm
sms,skoltsami.htm
smw,sumbawa.htm
sna,shona.php
snd,sindhi.htm
snf,noon.htm
snk,soninke.htm
sog,sogdian.htm
soi,rana.htm
som,somali.htm
soq,kanasi.htm
sot,sesotho.htm
spa,spanish.htm
spo,salish.htm
spp,supyire.htm
sqi,albanian.htm
squ,squamish.htm
srb,savara.htm
srd,sardinian.htm
srh,sarikoli.htm
srm,saramaccan.htm
srn,sranan.htm
srp,serbian.htm
srr,serer.htm
srs,tsuutina.htm
srz,mazandarani.htm
ssw,swati.php
stl,stellingwarfs.htm
sto,stoney.htm
stp,tepehuan.htm
stq,saterlandfrisian.htm
stv,silte.htm
stw,satawalese.htm
sun,sundanese.php
sur,mwaghavul.htm
sus,susu.htm
sux,sumerian.htm
suz,jenticha.htm
sva,svan.htm
svs,savosavo.htm
swa,swahili.htm
swb,maore.htm
swe,swedish.htm
swi,sui.htm
sxr,saaroa.htm
syl,syloti.htm
syr,syriac.htm
szl,silesian.php
tab,tabassaran.htm
tac,tarahumara.htm
tae,tariana.htm
tah,tahitian.htm
tam,tamil.htm
tan,tangale.htm
tao,yami.htm
taq,tamasheq.htm
tar,tarahumara.htm
tat,tatar.htm
tau,uppertanana.htm
tay,atayal.htm
taz,tocho.htm
tbg,tairoa.htm
tbl,tboli.htm
tbw,tagbanwa.htm
tca,ticuna.htm
tcb,tanacross.htm
tce,tutchone.htm
tcf,tlapanec.htm
tcl,jingpho.htm
tcs,tsc.htm
tcu,tarahumara.htm
tcx,toda.htm
tcy,tulu.htm
tdd,tainua.htm
teh,tehuelche.htm
tel,telugu.htm
tem,temne.htm
tep,tepehuan.htm
tet,tetum.php
tfn,denaina.htm
tfr,teribe.htm
tgk,tajik.htm
tgl,tagalog.htm
tha,thai.htm
thd,kuukthaayorre.htm
the,rana.htm
thh,tarahumara.htm
thi,tainua.htm
thl,rana.htm
thq,rana.htm
thr,rana.htm
tht,tahltan.htm
thv,tamahaq.htm
tig,tigre.htm
tin,tindi.htm
tir,tigrinya.htm
tiw,tiwi.htm
tix,southerntiwa.htm
tjs,tujia.htm
tkb,rana.htm
tkl,tokelauan.htm
tkp,tikopia.htm
tkr,tsakhur.htm
tkt,rana.htm
tla,tepehuan.htm
tli,tlingit.htm
tly,talysh.htm
tmc,tumak.htm
tmh,tuareg.htm
tmy,tami.htm
tnq,taino.htm
tob,tobaqom.htm
tod,loma.htm
toi,tongan.htm
toj,tojolabal.htm
tol,tolowa.htm
toq,toposa.htm
tpc,tlapanec.htm
tpi,tokpisin.htm
tpl,tlapanec.htm
tpu,tampuan.htm
tpx,tlapanec.htm
tri,tiriyo.htm
tru,turoyo.htm
trv,seediq.htm
trw,torwali.htm
tsc,tswa.htm
tsd,tsakonian.htm
tsg,tausug.htm
tsi,tsimshian.htm
tsj,tshangla.htm
tsn,tswana.php
tso,tsonga.php
tsz,purepecha.htm
tta,tutelo.htm
ttm,tutchone.htm
ttt,tat.htm
tuk,turkmen.htm
tum,tumbuka.htm
tun,tunica.htm
tuo,tucano.htm
tur,turkish.htm
tus,tuscarora.htm
tvd,vadi.htm
tvl,tuvaluan.htm
twe,teiwa.htm
twf,taos.htm
twi,twi.htm
two,nsotho.htm
twr,tarahumara.htm
txb,tocharian.htm
