level,unit,#,word,pos,translation,phonetic
1,1,92,I'm here on vacation. Nice.,expression,我在度假。真好,aɪm hir ɑn veɪˈkeɪʃən. naɪs.
1,1,93,Me too.,expression,我也是。,mi tu.
1,2,94,(computer) bag,noun,（电脑）包,(kəmˈpjutər) bæg
1,2,95,cell phone,noun,手机,sɛl foʊn
1,2,96,credit card,noun,信用卡,ˈkrɛdət kɑrd
1,2,97,glasses,noun,眼镜,ˈglæsəz
1,2,98,keys,noun,键,kiz
1,2,99,headphones,noun,头戴式耳机,ˈhɛdˌfoʊnz
1,2,100,laptop,noun,笔记本电脑,ˈlæpˌtɑp
1,2,101,sunglasses,noun,墨镜,ˈsʌnˌglæsɪz
1,2,102,umbrella,noun,雨伞,əmˈbrɛlə
1,2,103,wallet,noun,钱包,ˈwɔlət
1,2,104,watch,noun,看,wɑʧ
1,2,105,water bottle,noun,水壶,ˈwɔtər ˈbɑtəl
1,2,106,book,noun,书,bʊk
1,2,107,English book,noun,英语书,ˈɪŋglɪʃ bʊk
1,2,108,eraser,noun,橡皮,ɪˈreɪsər
1,2,109,highlighter,noun,荧光笔,ˈhaɪˌlaɪtər
1,2,110,homework (paper),noun,作业（纸）,ˈhoʊmˌwɜrk (ˈpeɪpər)
1,2,111,marker,noun,记号笔,ˈmɑrkər
1,2,112,notebook,noun,笔记本,ˈnoʊtˌbʊk
1,2,113,online dictionary,noun,在线词典,ˈɔnˌlaɪn ˈdɪkʃəˌnɛri
1,2,114,pen,noun,钢笔,pɛn
1,2,115,pencil,noun,铅笔,ˈpɛnsəl
1,2,116,scissors,noun,剪刀,ˈsɪzərz
1,2,117,coat,noun,涂层,koʊt
1,2,118,jeans,noun,牛仔裤,ʤinz
1,2,119,child (children),noun,小孩儿）,ʧaɪld (ˈʧɪldrən)
1,2,120,man (men),noun,男人（男人）,mən (mɛn)
1,2,121,woman (women),noun,女人（们）,ˈwʊmən (ˈwɪmən)
1,2,122,head,noun,头,hɛd
1,2,123,closet,noun,壁橱,ˈklɑzət
1,2,124,floor,noun,地板,flɔr
1,2,125,wall,noun,壁,wɔl
1,2,126,window,noun,窗口,ˈwɪndoʊ
1,2,127,board,noun,板,bɔrd
1,2,128,calendar,noun,日历,ˈkæləndər
1,2,129,chair,noun,椅子,ʧɛr
1,2,130,clock,noun,时钟,klɑk
1,2,131,computer,noun,电脑,kəmˈpjutər
1,2,132,desk,noun,台,dɛsk
1,2,133,drawer,noun,抽屉,drɔr
1,2,134,map,noun,地图,mæp
1,2,135,poster,noun,海报,ˈpoʊstər
1,2,136,table,noun,表,ˈteɪbəl
1,2,137,TV,noun,电视,ˈtiˈvi
1,2,138,wastebasket,noun,废纸篓,ˈweɪstˌbæskət
1,2,139,workbook,noun,工作簿,ˈwɝːk.bʊk
1,2,140,orange,noun,橙子,ˈɔrənʤ
1,2,141,sandwich,noun,三明治,ˈsændwɪʧ
1,2,142,snack,noun,小吃,snæk
1,2,143,he,pronoun,他,hi
1,2,144,she,pronoun,她,ʃi
1,2,145,they,pronoun,他们,ðeɪ
1,2,146,it,pronoun,它,ɪt
1,2,147,this,pronoun,这个,ðɪs
1,2,148,these,pronoun,这些,ðiz
1,2,149,asleep,adjective,睡着了,əˈslip
1,2,150,late (for class),adjective,上课迟到）,leɪt (fɔr klæs)
1,2,151,sick,adjective,生病,sɪk
1,2,152,answer,verb,回答,ˈænsər
1,2,153,"be: is, are",verb,是：是,"bi: ɪz, ɑr"
1,2,154,close,verb,关,kloʊs
1,2,155,listen (to),verb,听）,ˈlɪsən (tu)
1,2,156,look (at),verb,看着）,lʊk (æt)
1,2,157,open,verb,打开,ˈoʊpən
1,2,158,read,verb,读,rid
1,2,159,write,verb,写,raɪt
1,2,160,again,adverb,再次,əˈgɛn
1,2,161,at home / work,location expression,在家/工作,æt hoʊm / wɜrk
1,2,162,at (the library),location expression,在图书馆）,æt (ðə ˈlaɪˌbrɛri)
1,2,163,in class,location expression,在班上,ɪn klæs
1,2,164,in (the closet),location expression,在衣柜里）,ɪn (ðə ˈklɑzət)
1,2,165,in front of (the board),location expression,在（板子）前面,ɪn frʌnt ʌv (ðə bɔrd)
1,2,166,next to (the window),location expression,（窗户）旁边,nɛkst tu (ðə ˈwɪndoʊ)
1,2,167,on (the table),location expression,在桌子上）,ɑn (ðə ˈteɪbəl)
1,2,168,on the wall / floor,location expression,在墙壁/地板上,ɑn ðə wɔl / flɔr
1,2,169,over there,location expression,在那边,ˈoʊvər ðɛr
1,2,170,right here,location expression,就在这儿,raɪt hir
1,2,171,under (your desk),location expression,在（您的办公桌）下,ˈʌndər (jʊər dɛsk)
1,3,172,parents,noun,父母,ˈpɛrənts
1,3,173,mother (mom),noun,母亲（妈妈）,ˈmʌðər (mɑm)
1,3,174,father (dad),noun,父亲（爸爸）,ˈfɑðər (dæd)
1,3,175,husband,noun,丈夫,ˈhʌzbənd
1,3,176,wife,noun,妻子,waɪf
1,3,177,children,noun,孩子们,ˈʧɪldrən
1,3,178,daughter,noun,女儿,ˈdɔtər
1,3,179,son,noun,儿子,sʌn
1,3,180,sister,noun,妹妹,ˈsɪstər
1,3,181,brother,noun,哥哥,ˈbrʌðər
1,3,182,aunt,noun,姑妈,ænt
1,3,183,uncle,noun,叔叔,ˈʌŋkəl
1,3,184,cousin,noun,表姐,ˈkʌzən
1,3,185,grandparents,noun,祖父母,ˈgrændˌpɛrənts
1,3,186,grandmother (grandma),noun,祖母（祖母）,ˈgrændˌmʌðər (ˈgræmɑ)
1,3,187,grandfather (grandpa),noun,祖父（祖父）,ˈgrændˌfɑðər (ˈgrændˌpɑ)
1,3,188,best friend,noun,最好的朋友,bɛst frɛnd
1,3,189,boss,noun,老板,bɑs
1,3,190,celebrity,noun,名人,səˈlɛbrɪti
1,3,191,classmate,noun,同班同学,ˈklæˌsmeɪt
1,3,192,co-worker,noun,同事,koʊ-ˈwɜrkər
1,3,193,(sports) fan,noun,（体育）迷,(spɔrts) fæn
1,3,194,neighbor,noun,邻居,ˈneɪbər
1,3,195,student,noun,学生,ˈstudənt
1,3,196,a friend from high,noun,高个子的朋友,ə frɛnd frʌm haɪ
1,3,197,school,noun,学校,skul
1,3,198,a friend of mine,noun,我的一个朋友,ə frɛnd ʌv maɪn
1,3,199,(tennis) match,noun,（网球）比赛,(ˈtɛnəs) mæʧ
1,3,200,(soccer) player,noun,（足球）运动员,(ˈsɑkər) ˈpleɪər
1,3,201,sport,noun,运动,spɔrt
1,3,202,team,noun,球队,tim
1,3,203,actor,noun,演员,ˈæktər
1,3,204,artist,noun,艺术家,ˈɑrtəst
1,3,205,painter,noun,画家,ˈpeɪntər
1,3,206,singer,noun,歌手,ˈsɪŋər
1,3,207,soccer player,noun,足球运动员,ˈsɑkər ˈpleɪər
1,3,208,writer,noun,作家,ˈraɪtər
1,3,209,college,noun,学院,ˈkɑlɪʤ
1,3,210,high school,noun,中学,haɪ skul
1,3,211,job,noun,工作,ʤɑb
1,3,212,band,noun,带,bænd
1,3,213,movie,noun,电影,ˈmuvi
1,3,214,music,noun,音乐,ˈmjuzɪk
1,3,215,friendly,adjective,友好,ˈfrɛndli
1,3,216,fun,adjective,好玩,fʌn
1,3,217,lazy,adjective,懒,ˈleɪzi
1,3,218,nice,adjective,不错,naɪs
1,3,219,OK,adjective,好,ˈoʊˈkeɪ
1,3,220,outgoing,adjective,外向,ˈaʊtˌgoʊɪŋ
1,3,221,quiet,adjective,安静,ˈkwaɪət
1,3,222,shy,adjective,害羞,ʃaɪ
1,3,223,smart,adjective,聪明,smɑrt
1,3,224,strict,adjective,严格,strɪkt
1,3,225,amazing,adjective,惊人,əˈmeɪzɪŋ
1,3,226,exciting,adjective,激动的,ɪkˈsaɪtɪŋ
1,3,227,good,adjective,好,gʊd
1,3,228,great,adjective,大,greɪt
1,3,229,interesting,adjective,有趣,ˈɪntrəstɪŋ
1,3,230,wonderful,adjective,精彩,ˈwʌndərfəl
1,3,231,I’m,verb,我是,aɪm
1,3,232,you’re,verb,你是,jʊr
1,3,233,he’s,verb,他是,hiz
1,3,234,she’s,verb,她是,ʃiz
1,3,235,we’re,verb,我们是,wir
1,3,236,they’re,verb,他们是,ðɛr
1,3,237,Am I …? Are you / we / they …? Is she / he / it…?,verb,我是...吗？您/我们/他们……？她/他/是...吗？,æm aɪ …? ɑr ju / wi / ðeɪ …? ɪz ʃi / hi / ɪt…?
1,3,238,I’m not …,verb,我不是 …,aɪm nɑt …
1,3,239,You’re / We’re / They’re not …,verb,您是/我们是/他们不是…,jʊr / wir / ðɛr nɑt …
1,3,240,She’s / He’s / It’s not …,verb,她/他/不是...,ʃiz / hiz / ɪts nɑt …
1,3,241,always,adverb,总是,ˈɔlˌweɪz
1,3,242,now,adverb,现在,naʊ
1,3,243,really,adverb,真,ˈrɪli
1,3,244,so,adverb,所以,soʊ
1,3,245,very,adverb,非常,ˈvɛri
1,3,246,my,possessive adjective,我的,maɪ
1,3,247,your,possessive adjective,您的,jʊər
1,3,248,his,possessive adjective,他的,hɪz
1,3,249,her,possessive adjective,她的,hɜr
1,3,250,our,possessive adjective,我们的,ˈaʊər
1,3,251,their,possessive adjective,其,ðɛr
1,3,252,10 ten,number,10点10,10 tɛn
1,3,253,11 eleven,number,11点11分,11 ɪˈlɛvən
1,3,254,12 twelve,number,12十二,12 twɛlv
1,3,255,13 thirteen,number,13十三,13 ˈθɜrˈtin
1,3,256,14 fourteen,number,14十四,14 ˈfɔrˈtin
1,3,257,15 fifteen,number,15十五,15 fɪfˈtin
1,3,258,16 sixteen,number,16十六,16 sɪkˈstin
1,3,259,17 seventeen,number,17十七,17 ˈsɛvənˈtin
1,3,260,18 eighteen,number,18十八,18 eɪˈtin
1,3,261,19 nineteen,number,19十九,19 ˈnaɪnˈtin
1,3,262,20 twenty,number,20点20分,20 ˈtwɛnti
1,3,263,21 twenty-one,number,21 21,21 ˈtwɛnti-wʌn
1,3,264,22 twenty-two,number,22 22,22 ˈtwɛnti-tu
1,3,265,23 twenty-three,number,23时23分,23 ˈtwɛnti-θri
1,3,266,24 twenty-four,number,24二十四,24 ˈtwɛnti-fɔr
1,3,267,25 twenty-five,number,25二十五,25 ˈtwɛnti-faɪv
1,3,268,26 twenty-six,number,26二十六,26 ˈtwɛnti-sɪks
1,3,269,27 twenty -seven,number,27二十七,27 ˈtwɛnti -ˈsɛvən
1,3,270,28 twenty -eight,number,28二十八,28 ˈtwɛnti -eɪt
1,3,271,29 twenty -nine,number,29二十九,29 ˈtwɛnti -naɪn
1,3,272,30 thirty,number,30 30,30 ˈθɜrdi
1,3,273,40 forty,number,40 40,40 ˈfɔrti
1,3,274,50 fifty,number,50五十,50 ˈfɪfti
1,3,275,60 sixty,number,60 60,60 ˈsɪksti
1,3,276,70 seventy,number,70七十,70 ˈsɛvənti
1,3,277,80 eighty,number,80八十年代,80 ˈeɪti
1,3,278,90 ninety,number,90九十,90 ˈnaɪnti
1,3,279,100 one hundred,number,100一百,100 wʌn ˈhʌndrəd
1,3,280,101 a hundred and one,number,101101,101 ə ˈhʌndrəd ænd wʌn
1,3,281,Where are your grandparents from (originally)? They're from (Texas).,expression,您的祖父母来自哪里？他们来自（德克萨斯州）。,wɛr ɑr jʊər ˈgrændˌpɛrənts frʌm (əˈrɪʤənəli)? ðɛr frʌm (ˈtɛksəs).
1,3,282,How old are you? (I'm) twenty-three (years old).,expression,你几岁？ （我）二十三岁。,haʊ oʊld ɑr ju? (aɪm) ˈtwɛnti-θri (jɪrz oʊld).
1,3,283,What's (your grandmother) like? She's very smart.,expression,（您祖母）是什么样的人？她很聪明。,wʌts (jʊər ˈgrændˌmʌðər) laɪk? ʃiz ˈvɛri smɑrt.
1,3,284,"How are your parents? They're fine, thanks.",expression,你的父母怎么样？他们很好，谢谢。,"haʊ ɑr jʊər ˈpɛrənts? ðɛr faɪn, θæŋks."
1,3,285,Where are they today? They're at home.,expression,他们今天在哪里？他们在家。,wɛr ɑr ðeɪ təˈdeɪ? ðɛr æt hoʊm.
1,3,286,What are their names? (Angela) and (back).,expression,他们的名字是什么？ （安格拉）和（后退）。,wʌt ɑr ðɛr neɪmz? (ˈænʤələ) ænd (bæk).
1,3,287,I love ...,expression,我爱 ...,aɪ lʌv ...
1,3,288,I'm a (tennis) fan.,expression,我是（网球）迷。,aɪm eɪ (ˈtɛnəs) fæn.
1,3,289,Who’s this?,expression,这是谁？,huz ðɪs?
1,3,290,Who’s that?,expression,那是谁？,huz ðæt?
1,3,291,It’s (my grandmother). This is …,expression,是（我祖母）。这是 …,ɪts (maɪ ˈgrændˌmʌðər). ðɪs ɪz …
1,3,292,His new movie is great.,expression,他的新电影很棒。,hɪz nu ˈmuvi ɪz greɪt.
1,3,293,Her voice is amazing.,expression,她的声音很棒。,hɜr vɔɪs ɪz əˈmeɪzɪŋ.
1,3,294,(The Hunger Games) is our favorite movie.,expression,（饥饿游戏）是我们最喜欢的电影。,(ðə ˈhʌŋgər geɪmz) ɪz ˈaʊər ˈfeɪvərɪt ˈmuvi.
1,3,295,It's a painting. I know the artist. Really? It's great.,expression,这是一幅画。我认识这位艺术家。真？这很棒。,ɪts ə ˈpeɪntɪŋ. aɪ noʊ ði ˈɑrtəst. ˈrɪli? ɪts greɪt.
1,3,296,She's from Paris. Paris? Wow. Is she a professional artist?,expression,她来自巴黎。巴黎？哇。她是专业艺术家吗？,ʃiz frʌm ˈpɛrɪs. ˈpɛrɪs? waʊ. ɪz ʃi ə prəˈfɛʃənəl ˈɑrtəst?
1,3,297,Good.,expression,好。,gʊd.
1,3,298,Really?,expression,真？,ˈrɪli?
1,3,299,Oh?,expression,哦？,oʊ?
1,3,300,Great!,expression,大！,greɪt!
1,3,301,Wow!,expression,哇！,waʊ!
1,3,302,Oh.,expression,哦。,oʊ.
1,3,303,Hmm.,expression,嗯,həm
1,3,304,"You know, …",expression,你懂， …,"ju noʊ, …"
1,3,305,I know.,expression,我知道。,aɪ noʊ.
1,3,306,Right?,expression,对？,raɪt?
1,4,307,breakfast,noun,早餐,ˈbrɛkfəst
1,4,308,lunch,noun,午餐,lʌnʧ
1,4,309,chess,noun,棋,ʧɛs
1,4,310,exercise,noun,行使,ˈɛksərˌsaɪz
1,4,311,game,noun,游戏,geɪm
1,4,312,music,noun,音乐,ˈmjuzɪk
1,4,313,newspaper,noun,报纸,ˈnuzˌpeɪpər
1,4,314,law student,noun,法律系学生,lɔ ˈstudənt
1,4,315,people from different countries,noun,来自不同国家的人,ˈpipəl frʌm ˈdɪfərənt ˈkʌntriz
1,4,316,teenager,noun,青少年,ˈtiˌneɪʤər
1,4,317,coffee,noun,咖啡,ˈkɑfi
1,4,318,tea,noun,茶,ti
1,4,319,house,noun,屋,haʊs
1,4,320,restaurant,noun,餐厅,ˈrɛstəˌrɑnt
1,4,321,homework,noun,家庭作业,ˈhoʊmˌwɜrk
1,4,322,work,noun,工作,wɜrk
1,4,323,alarm clock,noun,闹钟,əˈlɑrm klɑk
1,4,324,radio,noun,无线电,ˈreɪdiˌoʊ
1,4,325,big,adjective,大,bɪg
1,4,326,crazy,adjective,疯,ˈkreɪzi
1,4,327,noisy,adjective,吵,ˈnɔɪzi
1,4,328,a lot,adverb,很多,ə lɑt
1,4,329,early,adverb,早,ˈɜrli
1,4,330,late,adverb,晚的,leɪt
1,4,331,on average,adverb,一般,ɑn ˈævərɪʤ
1,4,332,on (Monday),adverb,在星期一）,ɑn (ˈmʌndi)
1,4,333,pretty (quiet),adverb,非常安静）,ˈprɪti (ˈkwaɪət)
1,4,334,together,adverb,一起,təˈgɛðər
1,4,335,come,verb,来,kʌm
1,4,336,drink,verb,喝,drɪŋk
1,4,337,drive,verb,驾驶,draɪv
1,4,338,exercise,verb,行使,ˈɛksərˌsaɪz
1,4,339,know,verb,知道,noʊ
1,4,340,like,verb,喜欢,laɪk
1,4,341,live,verb,生活,lɪv
1,4,342,read,verb,读,rid
1,4,343,see,verb,看到,si
1,4,344,sing,verb,唱,sɪŋ
1,4,345,study,verb,研究,ˈstʌdi
1,4,346,talk,verb,谈论,tɔk
1,4,347,watch,verb,看,wɑʧ
1,4,348,work,verb,工作,wɜrk
1,4,349,check (my) email,verb,检查（我的）电子邮件,ʧɛk (maɪ) iˈmeɪl
1,4,350,clean the house,verb,打扫房屋,klin ðə haʊs
1,4,351,do the laundry,verb,洗衣服,du ðə ˈlɔndri
1,4,352,drive to work,verb,开车上班,draɪv tu wɜrk
1,4,353,have a weekly routine,verb,每周例行,hæv ə ˈwikli ruˈtin
1,4,354,eat (breakfast),verb,吃早餐）,it (ˈbrɛkfəst)
1,4,355,get up (early / late),verb,起床（早/晚）,gɛt ʌp (ˈɜrli / leɪt)
1,4,356,go shopping,verb,去逛街,goʊ ˈʃɑpɪŋ
1,4,357,have (breakfast / coffee),verb,吃（早餐/咖啡）,hæv (ˈbrɛkfəst / ˈkɑfi)
1,4,358,have a busy week,verb,有一个忙碌的一周,hæv ə ˈbɪzi wik
1,4,359,have a part -time job,verb,兼职,hæv ə pɑrt -taɪm ʤɑb
1,4,360,make phone calls,verb,拨打电话,meɪk foʊn kɔlz
1,4,361,send / receive text messages,verb,发送/接收短信,sɛnd / rəˈsiv tɛkst ˈmɛsəʤəz
1,4,362,sing in the shower,verb,在淋浴中唱歌,sɪŋ ɪn ðə ˈʃaʊər
1,4,363,spend time (on the phone),verb,花时间（在电话上）,spɛnd taɪm (ɑn ðə foʊn)
1,4,364,spend time online,verb,花时间上网,spɛnd taɪm ˈɔnˌlaɪn
1,4,365,go on the internet,verb,上网,goʊ ɑn ði ˈɪntərˌnɛt
1,4,366,go out,verb,出去,goʊ aʊt
1,4,367,listen to (music),verb,听音乐）,ˈlɪsən tu (ˈmjuzɪk)
1,4,368,play (games on the computer),verb,玩（计算机上的游戏）,pleɪ (geɪmz ɑn ðə kəmˈpjutər)
1,4,369,read (the newspaper),verb,阅读（报纸）,rid (ðə ˈnuzˌpeɪpər)
1,4,370,spend time with (your family),verb,花时间与（您的家人）,spɛnd taɪm wɪð (jʊər ˈfæməli)
1,4,371,watch (TV / videos),verb,看（电视/视频）,wɑʧ (ˈtiˈvi / ˈvɪdioʊz)
1,4,372,play on a team,verb,与团队比赛,pleɪ ɑn ə tim
1,4,373,play sports / soccer / tennis,verb,玩体育/足球/网球,pleɪ spɔrts / ˈsɑkər / ˈtɛnəs
1,4,374,run,verb,跑,rʌn
1,4,375,do (homework),verb,做作业）,du (ˈhoʊmˌwɜrk)
1,4,376,take a class,verb,上课,teɪk ə klæs
1,4,377,do don't does,verb,不要做,du doʊnt dʌz
1,4,378,doesn’t,verb,不,ˈdʌzənt
1,4,379,in (class),preposition,在（上课）,ɪn (klæs)
1,4,379.1,(spend time) with,preposition,跟某人（花时间）,(spɛnd taɪm) wɪð
1,4,380,after class,preposition,下课以后,ˈæftər klæs
1,4,381,at night,preposition,在晚上,æt naɪt
1,4,382,before breakfast,preposition,早饭之前,bɪˈfɔr ˈbrɛkfəst
1,4,383,every day,preposition,每天,ˈɛvəri deɪ
1,4,384,on Monday(s),preposition,在每个星期一）,ɑn ˈmʌndi(ɛs)
1,4,385,on (the) weekend s / on the weekend,preposition,周末s /周末,ɑn (ði) ˈwiˌkɛnd ɛs / ɑn ðə ˈwiˌkɛnd
1,4,386,in the morning(s) / afternoon(s) / evening(s),preposition,在上午/下午/晚上,ɪn ðə ˈmɔrnɪŋ(ɛs) / ˌæftərˈnun(ɛs) / ˈivnɪŋ(ɛs)
1,4,387,early (in the morning),preposition,清晨）,ˈɜrli (ɪn ðə ˈmɔrnɪŋ)
1,4,388,late (at night),preposition,在深夜）,leɪt (æt naɪt)
1,4,389,about 10 miles away in bed,location expression,躺在床上约10英里远,əˈbaʊt 10 maɪlz əˈweɪ ɪn bɛd
1,4,390,around here,location expression,这周围,əˈraʊnd hir
1,4,391,five hours a month,frequency expression,一个月五个小时,faɪv ˈaʊərz ə mʌnθ
1,4,392,one night a week,frequency expression,一周一晚,wʌn naɪt ə wik
1,4,393,three times a day / week,frequency expression,每天/每周三次,θri taɪmz ə deɪ / wik
1,4,394,Monday,noun,星期一,ˈmʌndi
1,4,395,Tuesday,noun,星期二,ˈtuzdi
1,4,396,Wednesday ,noun,星期三,ˈwɛnzdi 
1,4,397,Thursday,noun,星期四,ˈθɜrzˌdeɪ
1,4,398,Friday,noun,星期五,ˈfraɪdi
1,4,399,Saturday,noun,星期六,ˈsætərdi
1,4,400,Sunday,noun,星期日,ˈsʌnˌdeɪ
1,4,401,"Do you work out every day? No. Well, I come here before class.",expression,你每天锻炼吗？不，我上课前来这里。,"du ju wɜrk aʊt ˈɛvəri deɪ? noʊ. wɛl, aɪ kʌm hir bɪˈfɔr klæs."
1,4,402,"So do you live around here? No, I live about ten miles away.",expression,那你住这里吗不，我住在十英里外。,"soʊ du ju lɪv əˈraʊnd hir? noʊ, aɪ lɪv əˈbaʊt tɛn maɪlz əˈweɪ."
1,4,403,"Are you from here originally? Well, I'm from Chicago originally, ...",expression,你原来是从这里来的吗好吧，我本来是芝加哥的，...,"ɑr ju frʌm hir əˈrɪʤənəli? wɛl, aɪm frʌm ʃəˈkɑˌgoʊ əˈrɪʤənəli, ..."
1,4,404,"Do you go to a class in the evening? Yes, I do. / No, I don 't.",expression,你晚上上课吗？是的，我愿意。 /不，我没有。,"du ju goʊ tu ə klæs ɪn ði ˈivnɪŋ? jɛs, aɪ du. / noʊ, aɪ dɑn ti."
