id	kanji	kana	translation
85	あだめく	あだめく	卖弄风情，风骚，妖艳
86	あだん	あだん	露兜树
87	あちこち	あちこち	这儿那儿，到处
88	あちら	あちら	那儿，那里，那边，那个
89	あちらがわ	あちらがわ	那一面，对面，对方
90	あっ	あっ	啊，呀，哎呀
91	あっけない	あっけない	太简单，没意思，没劲，不尽兴
92	あっけらかんと	あっけらかんと	呆呆地，茫然地，悠然自得，满不在乎
93	あっさり	あっさり	清淡，素气，朴素，不花哨
94	あっち	あっち	那边，那里，那个
95	あっぱっぱ	あっぱっぱ	妇女穿的简单夏服
96	あっぱれ	あっぱれ	非常好，漂亮，值得佩服，真好!漂亮!有本事
97	あっぷあっぷ	あっぷあっぷ	呛得透不过气，非常困难
98	あつらえ	あつらえ	订做
99	あつらえむき	あつらえむき	正合适，正适宜，恰好，正合理想
100	あつらえもの	あつらえもの	订做的东西
101	あつらえる	あつらえる	定，订做
102	あてがい	あてがい	供给(的东西)，分配，贴上的东西
103	あてがいぶち	あてがいぶち	酌量给的钱或物品
104	あてがう	あてがう	分配，选配，给
105	あでやか	あでやか	艳丽，娇艳
106	あどけない	あどけない	天真，天真无邪，天真烂漫，孩子气
107	あながち	あながち	未必，不一定，不见得
108	あなぐま	あなぐま	獾
109	あなたがた	あなたがた	你们
110	あなたまかせ	あなたまかせ	一切靠老佛爷保佑，听凭他人，听其自然
111	あなばち	あなばち	地蜂，穴蜂
112	あにい	あにい	哥儿们，小伙子
113	あにはからんや	あにはからんや	孰料，岂知
114	あの	あの	那个，那，当
115	あの	あの	请问，啊，嗯
116	あのかた	あのかた	他，她，那一位
117	あのね	あのね	唉
118	あのひと	あのひと	他，她，那个人，丈夫
119	あのよ	あのよ	来世，黄泉
120	あのよう	あのよう	那样，那般
121	あばずれ	あばずれ	厚脸皮的女人，女光棍，女流氓
122	あばた	あばた	麻子，坑坑洼洼
123	あばよ	あばよ	再见，再会
124	あばらぼね	あばらぼね	肋骨，排骨
125	あばらや	あばらや	破房子，荒废的房子，鄙宅，茅舍
126	あひる	あひる	鸭，鸭子
127	あぶ	あぶ	虻，牛虻
128	あぶく	あぶく	泡，气泡
129	あぶくぜに	あぶくぜに	不义之财，用不正当方法得来的钱
130	あぶみ	あぶみ	马镫
131	あぶみづな	あぶみづな	镫索
132	あぶみぼね	あぶみぼね	镫骨
133	あぶらぎり	あぶらぎり	罂子桐，油桐，桐子树
134	あぶらぜみ	あぶらぜみ	秋蝉
135	あぶらな	あぶらな	油菜
136	あぶらむし	あぶらむし	蚜虫，蟑螂
137	あぶりだし	あぶりだし	烤墨纸
138	あぶりもの	あぶりもの	烤鱼，烤肉
139	あぶる	あぶる	烤，晒，烤干，烘
140	あぶれもの	あぶれもの	失业者，地痞，无赖
141	あぶれる	あぶれる	失业，找不着工作，一无所获
142	あべかわもち	あべかわもち	安倍川年糕
143	あべこべ	あべこべ	反，相反，颠倒
144	あほう	あほう	愚，蠢，浑，傻子
145	あほうづら	あほうづら	呆脸，蠢相
146	あほうどり	あほうどり	信天翁
147	あほたれ	あほたれ	胡涂虫，傻瓜
148	あほらしい	あほらしい	胡涂，愚蠢，傻气，荒唐
149	あま	あま	亚麻
150	あまがえる	あまがえる	绿蛙，雨蛙
151	あまだい	あまだい	方头鱼
152	あまちゃづる	あまちゃづる	七叶胆
153	あまつさえ	あまつさえ	而且，并且
154	あまつばめ	あまつばめ	雨燕
155	あまどころ	あまどころ	萎蕤
156	あまねく	あまねく	到处，遍，普遍
157	あまのじゃく	あまのじゃく	脾气别扭的人，性情乖僻
158	あまのり	あまのり	甘紫菜，紫菜
159	あみ	あみ	糠虾
160	あみがさたけ	あみがさたけ	羊肚菌
161	あみがしら	あみがしら	四字部，四字头儿
162	あみだかぶり	あみだかぶり	靠后戴
163	あみだくじ	あみだくじ	撇兰，抓大头
164	あめのうお	あめのうお	江麜
165	あめふらし	あめふらし	雨虎
166	あめんぼ	あめんぼ	水鹷，水马
167	あやかりもの	あやかりもの	令人羡慕的幸福的人，走运的人
168	あやかる	あやかる	相似，效仿
169	あやす	あやす	哄，逗
170	あやなす	あやなす	善于安排
171	あやふや	あやふや	含糊
172	あやめ	あやめ	溪荪，水菖蒲，蝴蝶花
173	あら	あら	唉呀，哎哟
174	あらいぐま	あらいぐま	浣熊
175	あらかじめ	あらかじめ	预先，先，事先，事前
176	あらかた	あらかた	大部分，几乎全部，大致，大体上
177	あらがう	あらがう	抗争，反抗，抵抗
178	あらしめる	あらしめる	使～～有，使～～存在
179	あらずもがな	あらずもがな	不如没有，多余，多此一举
180	あらせいとう	あらせいとう	洋紫罗兰
181	あらたか	あらたか	灵验显著，效力显著
182	あらぬ	あらぬ	不同的，另外的，错误的，没道理的
183	あらばこそ	あらばこそ	根本没有，完全没有，毫无
184	あらまあ	あらまあ	唉呀，哎哟
185	あらまし	あらまし	梗概，大致，大概，概略
186	あらまほし	あらまほし	但愿如是，深望如此
187	あらめ	あらめ	黑海带
188	あらゆる	あらゆる	所有，一切
189	あららぎ	あららぎ	紫杉
190	あられ	あられ	雹子，软雹，米雪；切成小碎块儿的年糕或食品
191	あられもない	あられもない	不可能有，荒谬，不相称，有失体统
192	ありありと	ありありと	清清楚楚，明明白白，显然，如实
193	ありうべからざる	ありうべからざる	不可能有的，不应该有的
194	ありうべき	ありうべき	可能有，会有，该有，应有
195	ありうる	ありうる	能有，可能有，可能
196	ありか	ありか	所在，下落
197	ありがたい	ありがたい	难得，少有，可贵，值得欢迎
198	ありがたがる	ありがたがる	感激，感谢，尊敬，重视
199	ありがたなみだ	ありがたなみだ	热泪，感激之泪，感激涕零
200	ありがたみ	ありがたみ	恩惠，价值，值得宝贵
201	ありがためいわく	ありがためいわく	倒添麻烦的好意，不受欢迎的好意
202	ありがち	ありがち	常有，常见
203	ありがとう	ありがとう	谢谢
204	ありきたり	ありきたり	通常，一般，常有，不希奇
205	ありくい	ありくい	食蚁兽
206	ありげ	ありげ	似乎有，仿佛有
207	ありさま	ありさま	样子，光景，情况，状态
208	ありじごく	ありじごく	蚁狮
209	ありすい	ありすい	歪膀
210	ありったけ	ありったけ	全部，一切
211	ありつく	ありつく	得到，找到
212	ありてい	ありてい	据实
213	ありとあらゆる	ありとあらゆる	所有，一切，各种的，各式各样的
214	ありのまま	ありのまま	据实，事实上，实事求是
215	ありふれる	ありふれる	常见，常有，不希奇
216	ありまき	ありまき	蚜虫
217	ありゃ	ありゃ	哎呀
218	あるいは	あるいは	或，或是，或者，有的
219	あるべき	あるべき	应有的，必须有的，当然要有的
220	あるまじき	あるまじき	不应有的，不相宜的
221	あれ	あれ	呀，哎哟，哎，哎呀
222	あれかし	あれかし	但愿，祝愿
223	あれこれ	あれこれ	这个那个，种种
224	あれしき	あれしき	那么一点点的，那样微不足道的
225	あれっきり	あれっきり	从那时起，那以后，只是那些
226	あれでも	あれでも	别看那个样子，尽管那样(还～～)
227	あれなりに	あれなりに	照旧，仍然，原封不动
228	あれほど	あれほど	那样，那么
229	あれやこれや	あれやこれや	这个那个，这呀那呀
230	あれよあれよ	あれよあれよ	茫然，发愣，捉摸不定
231	あわや	あわや	眼看就要，眼看着，险些，差点儿
232	あわよくば	あわよくば	碰巧，如果得手，得机会的话
233	あんぐりと	あんぐりと	大大张开(嘴)
234	あんこ	あんこ	姑娘，女孩子
235	あんこう	あんこう	老头鱼
236	あんな	あんな	那样的
237	あんなに	あんなに	那么，那样地
238	あんぽんたん	あんぽんたん	愚蠢，糊涂，傻瓜，糊涂虫
239	あんま	あんま	按摩
240	あんまり	あんまり	太，过于，过分，过火
241	あんみつ	あんみつ	豆沙水果凉粉
242	あんよ	あんよ	走，迈步，脚
243	あセレンさん	あセレンさん	亚硒酸
244	い	い	啊，呀，哪，啊
245	いいえ	いいえ	不，不是，没有
246	いいかお	いいかお	美丽的面孔，美貌，吃得开，好脸子
247	いいかげん	いいかげん	适当，适度，恰当，不疼不痒
248	いいかも	いいかも	容易上当受骗的人
249	いいき	いいき	天真，无忧无虑，逍遥自在，自以为了不起
250	いいきみ	いいきみ	痛快，开心，活该
251	いいぎり	いいぎり	山桐子
252	いいこ	いいこ	好孩子，乖孩子，卖乖取宠的人
253	いいこと	いいこと	好事，喜庆事，高兴的事，庆幸的事
254	いいだこ	いいだこ	望潮鱼
255	いいとし	いいとし	相当大的年龄，偌大(的)年纪，幸福的一年
256	いいなか	いいなか	相好，相爱
257	いいなずけ	いいなずけ	婚约，未婚夫，未婚妻
258	いいひと	いいひと	好人，善良的人，某人，那人
259	いえども	いえども	虽然
260	いか	いか	乌贼，墨鱼，墨斗鱼
261	いかがわしい	いかがわしい	可疑，不可靠，不正派，不正经
262	いかさま	いかさま	假的，欺骗
263	いかす	いかす	真好，真帅，份儿，派
264	いかだかずら	いかだかずら	叶子花
265	いかつい	いかつい	严厉，严肃，冷酷，不和蔼
266	いかなご	いかなご	玉筋鱼
267	いかめしい	いかめしい	严肃，庄严，威严，威风凛凛
268	いかれぽんち	いかれぽんち	窝囊废
269	いかれる	いかれる	被打败，输，破旧
270	いかん	いかん	不行，不要，不许
271	いがぐり	いがぐり	带刺壳的栗子，推光的头
272	いがみあい	いがみあい	互相仇视，争吵，不和
273	いがみあう	いがみあう	互相仇视，反目，鹢鹴，彼此不和
274	いがらっぽい	いがらっぽい	辣嗓子
275	いきさつ	いきさつ	经过，原委，底细，内情
276	いきなり	いきなり	突然，冷不防，马上就，立刻
277	いきまく	いきまく	怒气冲冲，愤慨激昂，气势汹汹地说，扬言
278	いきりたつ	いきりたつ	愤怒，激昂，怒不可遏，扬言
279	いきれ	いきれ	热气，闷热
280	いきれる	いきれる	闷热，热气熏蒸
281	いぎたない	いぎたない	贪睡，起得晚，睡相难看
282	いぐさ	いぐさ	灯心草
283	いけしゃあしゃあ	いけしゃあしゃあ	厚着脸皮，若无其事，恬不知耻，毫不在乎
284	いけすかない	いけすかない	非常讨厌
285	いけず	いけず	爱使坏，心眼坏，爱使坏的女人
286	いけずうずうしい	いけずうずうしい	厚脸皮，没皮没脸，死不要脸
287	いけぞんざい	いけぞんざい	极草率，太粗率，极随便
288	いけない	いけない	不可以，不行，不准，不要
289	いさかい	いさかい	争论，争吵，口角，拌嘴
290	いさき	いさき	石麗
291	いざ	いざ	喂，唉，好啦，来吧
292	いざこざ	いざこざ	纠纷，不合
293	いしもち	いしもち	石首鱼，黄花鱼
294	いじいじ	いじいじ	畏缩，发憷，缩手缩脚，畏手畏脚
295	いじくる	いじくる	摆弄，鼓捣，玩弄，胡乱改动
296	いじける	いじける	畏缩，气馁，无精打采，不开朗
297	いじましい	いじましい	可怜，可哀，气量小，度量狭窄
298	いじめ	いじめ	凌辱，欺侮，欺负
299	いじめっこ	いじめっこ	淘气孩子
300	いじめる	いじめる	欺负，虐待，欺侮，捉弄
301	いじらしい	いじらしい	可爱，招人疼爱，令人同情
302	いじり	いじり	摆弄，鼓捣，玩弄
303	いじりまわす	いじりまわす	胡乱转动，乱拧，随意摆弄
304	いじる	いじる	摆弄，玩弄，拨弄，抚弄
305	いすか	いすか	交嘴雀
306	いせえび	いせえび	龙虾
307	いせこむ	いせこむ	缝缩，往小里缝，纳褶儿
308	いそいそと	いそいそと	高高兴兴地，欢欣雀跃地，兴冲冲地，急忙地
309	いそぎんちゃく	いそぎんちゃく	海葵
310	いそめ	いそめ	海滨蚯蚓
311	いたいけ	いたいけ	可爱，可怜，令人怜爱
312	いたたまれない	いたたまれない	呆不下去，无地自容，如坐针毡
313	いたち	いたち	鶪鼠，黄鼠狼
314	いたちごっこ	いたちごっこ	捏手背玩儿，双方重复无谓的动作，毫无进展，得不到解决
315	いたちじそ	いたちじそ	鶪瓣花，荨麻
316	いたどり	いたどり	虎杖
317	いたぶる	いたぶる	敲诈，勒索
318	いたやかえで	いたやかえで	色木槭
319	いたやがい	いたやがい	半边蚶
320	いたわしい	いたわしい	可怜，悲惨，凄惨
321	いちい	いちい	栎，水松
322	いちいち	いちいち	一一，一个一个，逐一，逐个
323	いちころ	いちころ	一下子完蛋，一下子输掉
324	いちじく	いちじく	无花果
325	いちはつ	いちはつ	鸢尾
326	いちはやく	いちはやく	很快地，迅速地，飞快地，马上
327	いちび	いちび	黄麻
328	いちゃつく	いちゃつく	调情，调戏，吊膀子
329	いちゃもん	いちゃもん	找碴儿，讹赖
330	いちやくそう	いちやくそう	鹿蹄草
331	いちょう	いちょう	银杏，公孙树
332	いちディーケイ	いちディーケイ	一间一套的房间
333	いっかな	いっかな	无论怎么也，怎样也
334	いっこく	いっこく	顽固，好生气
335	いっこくもの	いっこくもの	顽固的人，固执的人，易怒的人，好生气的人
336	いっそ	いっそ	宁可，索性，莫如，莫若
337	いつなんどき	いつなんどき	不知什么时候，不定什么时候
338	いづくんぞ	いづくんぞ	焉，安
339	いでゆ	いでゆ	温泉
340	いとおしい	いとおしい	可怜，可爱
341	いとおしむ	いとおしむ	可怜，怜悯，喜爱，疼爱
342	いとすぎ	いとすぎ	柏，侧柏，丝柏
343	いとすげ	いとすげ	苔草
344	いとすすき	いとすすき	芒
345	いととんぼ	いととんぼ	豆娘
346	いとみみず	いとみみず	线蚯蚓
347	いとも	いとも	最，非常，十分，很
348	いな	いな	鲻鱼的幼鱼
349	いないいないばあ	いないいないばあ	藏猫儿，忽然躲起忽然出现
350	いなご	いなご	蝗虫，蚂蚱
351	いなせ	いなせ	英俊，俊俏，豪迈
352	いぬたで	いぬたで	马蓼
353	いぬつげ	いぬつげ	犬黄杨
354	いぬのふぐり	いぬのふぐり	婆婆纳
355	いぬびえ	いぬびえ	野稗
356	いぬほおずき	いぬほおずき	龙葵
357	いぬまき	いぬまき	土松
358	いぬわし	いぬわし	鹫，山鹰
359	いのいちばん	いのいちばん	天字第一号，首先，最先，第一
360	いのこずち	いのこずち	牛膝
361	いのしし	いのしし	野猪
362	いびりだす	いびりだす	虐待走，欺负走，逼走，撵走
363	いびる	いびる	虐待
364	いぶきぬかぼ	いぶきぬかぼ	粟草
365	いぶきびゃくしん	いぶきびゃくしん	桧，圆柏
366	いぶきぼうふう	いぶきぼうふう	防风
367	いぼいのしし	いぼいのしし	疣猪
368	いぼいぼ	いぼいぼ	疙疙瘩瘩，疙里疙瘩，许多凸起，浑身发疹
369	いぼがえる	いぼがえる	癞蛤蟆，蟾蜍
370	いぼたのき	いぼたのき	水蜡树
371	いぼたむし	いぼたむし	水蜡树虫
372	いぼたろうむし	いぼたろうむし	白蜡虫
373	いまいましい	いまいましい	可厌，可恨，可恶，可气
374	いみじくも	いみじくも	确切，恰当，巧妙
375	いもり	いもり	蝾螈
376	いや	いや	哎呀，哎哟，唉，呀
377	いやがうえにも	いやがうえにも	愈，益，越发
378	いやさか	いやさか	更加繁荣，越发兴盛
379	いやしくも	いやしくも	苟，假如，既然，万一
380	いやちこ	いやちこ	显著，非常明显
381	いやに	いやに	太，真，够，非常
382	いやはや	いやはや	哎呀，啊呀
383	いやまさる	いやまさる	越来越多，越来越甚
384	いやます	いやます	越来越增进，增加不已，累增
385	いよいよ	いよいよ	愈益，越发，真的
386	いよう	いよう	嗬，嘿，哎呀
387	いらいら	いらいら	急躁情绪，焦急状态，着急，焦急
388	いらくさ	いらくさ	荨麻
389	いらっしゃい	いらっしゃい	来，去，你来了
390	いらっしゃる	いらっしゃる	在，来，去，是
391	いらむし	いらむし	杨瘌子，雀瓮
392	いるか	いるか	海豚，海猪
393	いろは	いろは	伊吕波，初步，入门，ABC
394	いろはうた	いろはうた	伊吕波歌
395	いろはがるた	いろはがるた	伊吕波纸牌
396	いわし	いわし	沙丁鱼
397	いわだぬき	いわだぬき	蹄兔
398	いわつつじ	いわつつじ	越橘
399	いわつばめ	いわつばめ	岩燕，欧洲燕
400	いわな	いわな	岩鱼，红点鮭，白点鮭
401	いわひばり	いわひばり	篱雀
402	いわゆる	いわゆる	所谓，一般人说的，大家所说的，常说的
403	いわれんげ	いわれんげ	石莲花
404	いんきんたむし	いんきんたむし	腹股沟癣
405	いんこ	いんこ	鹦哥
406	いんちき	いんちき	腥赌，耍花招骗人的赌博，欺骗，假招子
407	う	う	吧，要，想，让，请
408	ういきょう	ういきょう	茴香
409	ういろう	ういろう	外郎，一种祛痰药或米粉糕
410	うかうか	うかうか	随随便便，不留神，不注意，马虎大意
411	うかんむり	うかんむり	宝盖儿
412	うきやがら	うきやがら	海荆三棱
413	うぐい	うぐい	雅罗鱼
414	うぐいすそう	うぐいすそう	琉璃草
415	うこぎ	うこぎ	五加
416	うごめかす	うごめかす	扭动
417	うごめく	うごめく	蠕动，蠢动，咕容
418	うしかもしか	うしかもしか	牛羚，角马
419	うしはこべ	うしはこべ	牛繁缕
420	うじうじ	うじうじ	迟疑不决，不干脆利落，犹豫不决，举棋不定
421	うじゃうじゃ	うじゃうじゃ	乱爬乱钻，密密麻麻乱动，蠕动，唠唠叨叨
422	うすうす	うすうす	稍稍，略略，模模糊糊
423	うすのろ	うすのろ	低能，呆笨
424	うすばかげろう	うすばかげろう	蛟蛉
425	うすべり	うすべり	带边的薄席子
426	うすもや	うすもや	薄鹝，薄雾
427	うすゆきそう	うすゆきそう	薄雪火绒草
428	うずうず	うずうず	心里发痒，发急
429	うずくまる	うずくまる	蹲，踞，蹲坐，立着前腿坐
430	うずたかい	うずたかい	堆得很高，堆积如山
431	うずら	うずら	鹌鹑
432	うずらまめ	うずらまめ	斑豆
433	うそ	うそ	有点，稍微，总觉得，模糊感到
434	うそうそ	うそうそ	东张西望，慌慌张张
435	うそさむい	うそさむい	有点冷，凉嗖嗖，略有寒意，秋寒
436	うそぶく	うそぶく	佯装不知，假装不知道，若无其事，大言壮语
437	うたたね	うたたね	假寐，打盹儿
438	うだうだ	うだうだ	罗罗嗦嗦，絮絮叨叨
439	うっかり	うっかり	不注意，不留神，无意中，稀里糊涂
440	うっかりもの	うっかりもの	稀里糊涂的人，漫不经心的人，呆子，傻子
441	うっすらと	うっすらと	稍微，隐约，薄薄地
442	うっちゃらかす	うっちゃらかす	扔开，撇开不管
443	うっちゃり	うっちゃり	招数，最后转败为胜
444	うっちゃる	うっちゃる	扔掉，抛弃，扔开，不管
445	うってかわる	うってかわる	变得截然不同，大变样
446	うってつけ	うってつけ	理想，合适，适合，恰当
447	うっとうしい	うっとうしい	郁闷，阴郁，沉闷，厌烦
448	うっとり	うっとり	发呆，出神，入迷，陶醉
449	うっぷん	うっぷん	郁愤，积愤，积恨
450	うつぎ	うつぎ	溲疏，水晶花
451	うつぼ	うつぼ	韧鱼
452	うつぼかずら	うつぼかずら	猪笼草
453	うつぼがい	うつぼがい	玉螺
454	うつぼぐさ	うつぼぐさ	夏枯草
455	うつらうつら	うつらうつら	恍惚，迷迷糊糊，昏昏欲睡
456	うとう	うとう	善知鸟
457	うとうと	うとうと	迷迷糊糊
458	うど	うど	土当归
459	うどんげ	うどんげ	非常罕见的事情，优昙花，昙花，草蜻蛉卵
460	うなずく	うなずく	点头，首肯
461	うなだれる	うなだれる	垂头，低头
462	うぬ	うぬ	嗯
463	うねうね	うねうね	蜿蜒起伏
464	うねり	うねり	蜿蜒，起伏，滚滚的浪潮，浪涛
465	うねる	うねる	弯曲，蜿蜒，起伏，滚动
466	うばがい	うばがい	姥蛤
467	うばめがし	うばめがし	乌冈栎
468	うひひひ	うひひひ	呜嘻嘻
469	うへっ	うへっ	唷！
470	うまうま	うまうま	巧妙地，轻易地
471	うまごやし	うまごやし	苜蓿
472	うまに	うまに	炖的菜
473	うみほおずき	うみほおずき	红螺的卵囊
474	うみほたる	うみほたる	海萤
475	うみゆり	うみゆり	海百合
476	うやむや	うやむや	含糊，含含糊糊，马虎，马马虎虎
477	うようよ	うようよ	咕咕容容蠕动，咕容
478	うら	うら	多少有点，稍微有点，不由得有点
479	うらうずがい	うらうずがい	红底星螺，菊刺螺
480	うらうらと	うらうらと	晴朗，明朗
481	うらがなしい	うらがなしい	有点悲伤，稍微感到悲哀，令人感伤
482	うらがれる	うらがれる	枝叶尖梢枯凋
483	うらき	うらき	梢
484	うらさびしい	うらさびしい	有点寂寞，令人感到寂寞，颇有凄凉之感
485	うらはずかしい	うらはずかしい	有些感到害羞，总觉得害羞，羞答答的
486	うらぶれる	うらぶれる	落魄，潦倒，破落，没落
487	うらやましい	うらやましい	羡慕，眼红
488	うらやむ	うらやむ	羡慕，忌妒，眼红
489	うららか	うららか	明媚，晴朗，开朗，舒畅
490	うらわかい	うらわかい	年轻，娇嫩
491	うるか	うるか	腌香鱼肠
492	うるさい	うるさい	讨厌，麻烦，恼人，使人心烦
493	うるさがる	うるさがる	腻烦，厌烦，讨厌
494	うろうろ	うろうろ	彷徨，徘徊，转来转去，惊慌失措
495	うろおぼえ	うろおぼえ	模糊的记忆
496	うろたえる	うろたえる	着慌，惊惶失措
497	うろちょろ	うろちょろ	转来转去
498	うろつく	うろつく	彷徨，徘徊，闲荡
499	うろぬく	うろぬく	间，摘疏
500	うわごと	うわごと	胡话，梦话
501	うわずる	うわずる	头脑发热，声音变尖
502	うわばみ	うわばみ	蟒蛇，蚺蛇，大蟒，海量
503	うん	うん	嗯，哦，喔，哼
504	うんうん	うんうん	哼哼，嗯嗯，行行
505	うんか	うんか	浮尘子
506	うんこ	うんこ	大便，屎
507	うんざり	うんざり	腻，厌腻，厌烦
508	うんち	うんち	大便
509	うんと	うんと	多，狠，用力，使劲
510	え	え	唉，诶，嗯，是
511	えい	えい	///   鳐鱼
512	えい	えい	///   诶，唉，哎呀
513	えいえい	えいえい	嗨哟
514	えいえいおう	えいえいおう	嗨哟嗬
515	えいさ	えいさ	唉嗨
516	えいざんすみれ	えいざんすみれ	胡堇草，胡堇菜
517	えいざんゆり	えいざんゆり	天香百合
518	えいや	えいや	嗨哟
519	えいやらや	えいやらや	唉呀嘿呀
520	ええ	ええ	啊，诶，好吧，嗯
521	ええっ	ええっ	诶，唉呀
522	ええと	ええと	啊，嗯
523	えがらい	えがらい	辣嗓子
524	えぎ	えぎ	窄水渠
525	えくぼ	えくぼ	笑窝，酒窝
526	えぐい	えぐい	涩口，辣嗓子
527	えげつない	えげつない	寡情，无情，薄情，下流
528	えごのき	えごのき	野茉莉
529	えごのり	えごのり	牛毛石花菜
530	えごま	えごま	荏，白苏
531	えぞぎく	えぞぎく	翠菊，江西腊
532	えぞすみれ	えぞすみれ	胡堇草，胡堇菜
533	えぞまつ	えぞまつ	针枞，宽鳞鱼鳞松
534	えぞらいちょう	えぞらいちょう	松鸡
535	えだしゃくとり	えだしゃくとり	尺蠖
536	えっ	えっ	啊，怎么
537	えっさ	えっさ	嘿
538	えっちらおっちら	えっちらおっちら	很吃力地，很费劲地
539	えつ	えつ	麢，凤尾鱼
540	えのき	えのき	朴树
541	えのきぐさ	えのきぐさ	铁苋菜
542	えのきだけ	えのきだけ	朴蕈
543	えのころぐさ	えのころぐさ	狗尾草，光明草，阿罗汗草
544	えのご	えのご	腹股沟部，鼠鸈，鼠鸈部的肿胀
545	えびづる	えびづる	野葡萄
546	えびね	えびね	虾脊兰
547	えびも	えびも	水王孙，黑藻
548	えびらはぎ	えびらはぎ	草木樨，野苜蓿
549	えへん	えへん	嗯哼，唉哼
550	えもいわれぬ	えもいわれぬ	难以形容的，说不出来的，妙不可言的
551	えらく	えらく	非常，很
552	えらぶうなぎ	えらぶうなぎ	海蛇，蛇婆
553	えらん	えらん	露兜树
554	えりやなるいぎょぎょう	えりやなるいぎょぎょう	箔旋式渔业
555	えんこ	えんこ	伸腿坐，抛锚，不能动转
556	えんごさく	えんごさく	延胡索
557	えんとう	えんとう	圆柱，圆柱体
558	えんばく	えんばく	燕麦
559	えんまこおろぎ	えんまこおろぎ	油葫芦
