word,phonetic,translation
abduct,æb'dʌkt,"vt. 诱拐, 绑架, 使外展\n[医] 外展, 展"
abducted,,[法] 诱拐
abductee,",æbdʌk'ti:",n. 被绑架者
abduction,æb'dʌkʃәn,"n. 诱拐, 绑架, 外展\n[医] 外展, 展"
abductor,æb'dʌktә,"n. 诱拐者, 绑架者, 外展肌\n[医] 展肌, 外展肌"
abed,ә'bed,adv. 在床上
aberrant,æ'berәnt,"a. 偏离正路的, 偏离常轨的, 畸变的\n[化] 异常的"
aberration,æbә'reiʃәn,"n. 离开正路, 偏离, 畸变, 光行差, 心理失常, 色差\n[化] 光行差; 像差"
aberrational,,"离开轨道的, 越轨的, 脱离常规的"
abet,ә'bet,"vt. 教唆, 煽动, 怂恿, 帮助, 支持"
abeyance,ә'beiәns,"n. 中止, 暂搁, 停止, 归属待定\n[化] 潜态"
abhor,әb'hɒ:,"vt. 憎恶, 痛恨, 回避, 拒绝"
abhorrence,әb'hɒrәns,"n. 厌恶, 痛恨"
abhorrent,әb'hɒrәnt,"a. 令人憎恨的, 可恶的, 厌恶的, 相抵触的, 不一致的"
abide,ә'baid,"vi. 停留, 遵守, 居留, 继续下去\nvt. 忍受, 经受, 屈从于"
abiding,ә'baidiŋ,"a. 永久的, 持久的, 不变的"
ability,ә'biliti,"n. 能力, 才干\n[经] 能力, 才能"
abiotic,.eibai'ɒtik,"a. 无生命的, 非生物的\n[医] 无生命的; 生活力缺失的"
abject,'æbdʒekt,"a. 绝望无助的, 可怜的, 糟透的, 卑鄙的, 自卑的\n[法] 卑鄙的, 卑下的, 可怜的"
abjection,æb'dʒekʃәn,"n. 卑鄙, 落魄, 抛弃, 驱逐"
abjectly,,"adv. (境况)低贱, 凄惨, 很可怜, 可鄙, 不自爱, 卑鄙, 卑下"
abjure,әb'dʒuә,"vt. 发誓断绝, 公开放弃\n[法] 誓绝, 弃绝, 公开放弃"
ablate,æb'leit,"v. 切除, 腐蚀, 溶化掉, 烧蚀"
ablation,æb'leiʃәn,"n. 腐蚀, 切除, 烧蚀\n[化] 烧蚀"
ablative,'æblәtiv,a. 夺格的\nn. 夺格
ablaze,ә'bleiz,"a. 着火的, 闪亮的, 激昂的\nadv. 着火, 闪耀"
able,'eibl,"a. 能干的, 能够的"
ablution,ә'blu:ʃәn,"n. 洗澡, 洗礼, 斋戒沐浴\n[化] 洗净; 洗净液"
ably,'eibli,"adv. 能干地, 精明强干地"
abnegation,.æbni'geiʃәn,"n. 放弃, 舍弃, 克制"
abnormal,æb'nɒ:mәl,"a. 反常的, 不规则的, 变态的, 畸形的\nn. 畸形的人"
abnormality,.æbnɒ:'mæliti,"n. 反常, 畸形, 变态\n[化] 反常; 非正态性"
abnormally,,"adv. 不正常, 异常, (贬)不同寻常, 不规则, 变态, 反常"
aboard,ә'bɒ:d,"adv. 在船上, 在火车上, 在飞机上\nprep. 在...之上"
abode,ә'bәud,"n. 住所, 住处\nabide的过去式和过去分词"
abolish,ә'bɒliʃ,"vt. 废止, 革除, 消灭\n[经] 废除, 取消, 裁撤"
abolishment,ә'bɒliʃmәnt,"n. 废止, 革除, 消灭\n[法] 废止, 废除, 取消"
abolition,.æbәu'liʃәn,"n. 废除, 废奴运动\n[医] 禁止, 消失"
abolitionism,.æbәu'liʃәnizәm,"n. 废除主义, 废奴主义\n[医] 活体解剖禁止论"
abolitionist,.æbәu'liʃәnist,"n. 废除主义者, 废奴主义者"
abominable,ә'bɒminәbl,"a. 讨厌的, 令人憎恶的"
abominably,ә'bɒminәbli,"adv. 可恶地, 讨厌地, 极端地"
abomination,ә.bɒmi'neiʃәn,"n. 厌恶, 痛恶, 令人厌恶的事物"
aboriginal,.æbә'ridʒәnәl,"a. 原始的, 土著的\nn. 土著居民, 土生生物"
aborigine,,"n. 土著, 土著居民, 土人"
abort,ә'bɒ:t,"vi. 流产, 中途失败\nvt. 使流产, 使失败, 使中止"
aborted,ә'bɒ:tid,"a. 流产的, 中途失败的"
abortifacient,ә.bɒ:ti'feiʃәnt,n. 堕胎药\na. 堕胎的
abortion,ә'bɒ:ʃәn,"n. 流产, 堕胎, 失败, 夭折, 中止\n[医] 流产, 小产; 顿挫"
abortionist,ә'bɒ:ʃәnist,n. 为人堕胎者\n[医] 堕胎者
abortive,ә'bɒ:tiv,"a. 流产的, 堕胎的, 失败的\n[医] 流产的; 顿挫的"
abound,ә'baund,"vi. 大量存在, 富于, 充满"
about,ә'baut,"prep. 在...周围, 大约, 有关, 关于\nadv. 大约, 四处, 在附近, 周围"
above,ә'bʌv,"prep. 在上方, 超出\nadv. 在上面\na. 上述的, 上面的"
abracadabra,.æbrәkә'dæbrә,"n. 咒语, 胡言乱语"
abrade,ә'breid,"vt. 擦伤, 磨损, 磨\n[医] 擦除, 擦破; 磨损, 磨除"
abraded,,a. 刮擦的\nv. 磨损；擦掉；擦伤（abrade的过去分词）
Abrahamic,,亚伯拉罕（人名）
abrasion,ә'breiʒәn,"n. 磨擦, 磨损, 磨损处\n[化] 磨耗; 磨蚀"
abrasive,ә'breisiv,n. 研磨料\na. 有研磨作用的
abrasiveness,,[化] 磨损性
abreast,ә'brest,"adv. 并肩地, 并列地"
abridge,ә'bridʒ,"vt. 缩短, 删节, 减少, 剥夺\n[法] 剥夺; 节略"
abridged,,a. 删节的；削减的
abridgement,ә'bridʒmәnt,"n. 节本, 节略, (权利/自由的)剥夺\n[计] 节略, 缩写"
abridgment,ә'bridʒmәnt,"n. 删节, 删节本, 缩短, 限制"
abroad,ә'brɒ:d,"adv. 往国外, 到室外, 到处\na. 往国外的, 在室外的, 广泛四散的"
abrogate,'æbrәgeit,"vt. 废除, 取消\n[经] 取消, 废除, 不生效(的法令)"
abrogation,.æbrәu'geiʃәn,"n. 废除, 取消\n[经] 废除, 取消"
abrupt,ә'brʌpt,"a. 突然的, 唐突的, 陡峭的, 不连贯的"
abruptly,ә'brʌptli,"adv. 突然地, 唐突地"
abruptness,ә'brʌptnis,"n. 突然, 唐突"
ABS,,"[计] 绝对, 美国标准局"
abscess,'æbsis,n. 脓肿\nvi. 形成脓肿
abscessed,'æbsist,a. 有脓肿的
abscond,әb'skɒnd,"vi. 潜逃, 逃匿\n[经] (为躲避罪责,债务等)潜逃"
absence,'æbsәns,"n. 缺席, 缺乏, 没有\n[医] 失神"
absent,'æbsәnt,"a. 缺席的, 不在的, 缺乏的, 漫不经心的\nvt. 使缺席"
absentee,.æbsәn'ti:,"n. 缺席者, 不在者\n[经] 缺勤者, 缺席者, 未到工者"
absenteeism,æbsәn'ti:iz(ә)m,"n. 经常无故缺席, 旷职, 旷工, 旷课\n[经] 有计划的怠工, 旷工"
absently,'æbsәntli,adv. 心不在焉地
absentmindedly,,adv. 茫然地；精神不集中地
absinthe,'æbsinθ,n. 艾酒
absolute,'æbsәlu:t,"a. 绝对的, 专制的, 完全的, 独立的\nn. 绝对事物"
absolutely,'æbsәlu:tli,"adv. 完全地, 绝对地, 确确实实地"
absoluteness,'æbsәlu:tnis,"n. 绝对, 完全, 无限制"
absolution,æbsә'lu:ʃәn,"n. 免罪, 赦免, 免除\n[法] 免罚, 赦免, 免除"
absolutism,'æbsәlu:tizm,"n. 专制主义, 专制政体论, 绝对主义\n[法] 专制主义, 专制政治论, 绝对主义"
absolutist,'æbsәlu:tist,"n. 专制主义者, 专制政体者, 绝对主义者"
absolve,әb'zɒlv,"vt. 宣告...无罪, 赦免, 免除\n[经] 免偿(债务), 解除"
absorb,әb'sɒ:b,"vt. 吸收, 使全神贯注, 同化, 买进, 理解, 承受, 忍受, 承担\n[医] 吸收"
absorbable,әb'sɒ:bәbl,"a. 可吸收的, 容易被吸收的\n[医] 可吸收的"
absorbance,әb'sɒ:bәns,n. 吸光率\n[化] 吸光度; 吸收度
absorbed,әb'sɒ:bd,"a. 全神贯注的, 一心一意的\n[机] 被吸收的"
absorbency,әb'sɒ:bәnsi,"n. 吸收性, 吸光度\n[计] 吸墨性"
absorbent,әb'sɒ:bәnt,a. 能吸收的\nn. 吸收剂
absorber,әb'sɔ:bә,n. 吸收器\n[化] 吸收剂; 消振器; 缓冲器; 吸收器; 吸收体
absorbing,әb'sɒ:biŋ,"a. 吸引人的, 非常有趣的\n[机] 吸收的"
absorption,әb'sɒ:pʃәn,"n. 吸收, 专心, 全神贯注\n[化] 吸收; 吸收作用"
absorptive,әb'sɒ:ptiv,"a. 吸收性的, 有吸收力的\n[医] 吸收的"
abstain,әb'stein,"vi. 自制, 戒绝, 弃权, 回避"
abstainer,әb'steinә,"n. 节制者, 弃权者"
abstemious,æb'sti:mjәs,"a. 有节制的, 节约的"
abstention,әb'stenʃәn,"n. 戒绝, 回避, 弃权"
abstinence,'æbstinәns,"n. 节制, 禁欲, 戒酒\n[医] 节制, 禁戒(如禁酒,节欲)"
abstinent,'æbstinәnt,"a. 有节制的, 禁欲的\nn. 禁欲者"
abstract,'æbstrækt,"a. 抽象的, 深奥的\nn. 摘要, 抽象概念\nvt. 摘要, 提炼, 使抽象化\n[计] 摘录; 摘要; 抽象"
abstracted,æb'stræktid,"a. 心不在焉的, 出神的, 分离出的"
abstractedly,,"adv. 心不在焉, 抽出了, 分心, 出神"
abstraction,æb'strækʃәn,"n. 抽象化, 心不在焉, 空想, 提炼, 抽象派作品\n[化] 提取; 抽取; 夺取; 夺取反应; 除去"
abstractionist,æb'strækʃәnist,n. 抽象派艺术家
abstractly,æb'stræktli,adv. 抽象地；理论上地
abstractness,,n. 抽象性
abstruse,æb'stru:s,"a. 难解的, 深奥的"
absurd,әb'sә:d,"a. 荒谬的, 不合理的, 可笑的\nn. 荒诞"
absurdity,әb'sә:diti,"n. 荒谬, 悖理, 荒谬的言行"
absurdly,әb'sә:dli,"adv. 荒谬地, 荒唐地, 愚蠢地"
abundance,ә'bʌndәns,"n. 丰富, 充足, 大量\n[经] 丰富, 充裕"
abundant,ә'bʌndәnt,"a. 丰富的, 充分的, 大量的"
abundantly,ә'bʌndәntli,"adv. 大量地, 丰富地"
abuse,ә'bju:s.ә'bju:z,"n. 滥用, 虐待, 恶习, 辱骂\nvt. 滥用, 辱骂, 虐待"
abused,,"n. 受虐；滥用, 恶习"
abuser,,n. 滥用者
abusive,ә'bju:siv,"a. 恶言谩骂的, 被滥用的, 腐败的, 虐待的"
abusively,,"adv. 辱骂性, 陋习性, 被滥用, 滥用, 骂人"
abusiveness,,n. 滥用；咒骂
abut,ә'bʌt,"v. 邻接, 毗邻"
abutment,ә'bʌtmәnt,"n. 邻接, 接界, 桥台\n[医] 桥基, 基牙"
abysmal,ә'bizmәl,"a. 深不可测的, 无底的"
abysmally,ə'bɪzməlɪ,adv. 极糟地; 可怕地; 完全地; 极端地
abyss,ә'bis,"n. 深渊, 深邃, 地狱"
Abyssinian,.æbi'sinjәn,"a. 阿比西尼亚的\nn. 阿比西尼亚人, 埃塞俄比亚人"
acacia,ә'keiʃә,"n. 洋槐, 刺槐, 阿拉伯树胶\n[化] 阿拉伯胶; 金合欢胶"
academe,",ækә'di:m","n. 研究院, 学会(=academy),学术界,学院"
academia,.ækә'di:miә,"n. 学术界, 学术生涯"
academic,.ækә'demik,"a. 学院的, 学术的, 不切实际的\nn. 大学生, 大学教师, 学者, 学会会员"
academically,.ækә'demikәli,adv. 学术上；学业上
academician,ә.kædә'miʃәn,"n. 学会会员, 院士, 学究, 大学生, 学者"
academy,ә'kædәmi,"n. 学院, 院校, 学会"
Acadian,ә'keidiәn,"a. 阿卡迪亚的,阿卡迪亚人的"
accede,æk'si:d,"vi. 同意, 正式加入, 就任, 继任"
accelerant,әk'selәrәnt,"n. 促进剂, 加速进程的东西\na. 促进的, 加速的"
accelerate,әk'selәreit,"v. 加速, 促进"
accelerated,әk'selәreitid,a. 加快的\n[医] 加速的
accelerating,æk'selәreitiŋ,[计] 加速
acceleration,әk.selә'reiʃәn,"n. 加速, 促进, 加速度\n[化] 加速度"
accelerative,әk'selәrәtiv,"a. 加速的, 促进的"
accelerator,әk'selәreitә,"n. 加速剂, 加速器, 油门\n[化] 加速器; 早强剂; 促进剂; 硫化促进剂"
accelerometer,әk.selә'rɒmitә,n. 加速度计\n[化] 加速度计
accent,'æksәnt,"n. 重音, 口音, 特点, 注重点\nvt. 重读, 加重音号于, 强调"
accented,ˈæksentɪd,a. 带…腔调的；带…口音的
accentual,æk'sentjuәl,"a. 重音的, 根据重音定节奏的"
accentuate,æk'sentjueit,"vt. 以重音念, 强调, 重读"
accentuated,,加重
accentuation,æk.sentju'eiʃәn,"n. 重读, 加重音符号, 强调\n[医] 增强, 亢进"
accept,әk'sept,"vt. 接受, 承认, 同意, 相信, 赞成, 承担, 承兑, 采纳, 接纳, 容忍\nvi. 同意"
acceptability,әk.septә'biliti,"n. 可接受, 合意, 可忍受"
acceptable,әk'septәbl,"a. 可接受的, 合意的, 可忍受的"
acceptably,әk'septәbli,"adv. 可欣然接受地, 承受得住地, 能合人意地"
acceptance,әk'septәns,"n. 接受, 接纳, 承认, 同意, 赞同, 容忍, 相信\n[经] 承兑, 认付, (工程)验收"
accepted,әk'septid,"a. 公认的, 一般承认的\n[经] 已承兑, 已认付"
acceptor,әk'septә,"n. 接受者, 承兑人, 接收器\n[化] 接纳体; 接受体; 受体; 受主; 被诱物"
access,'ækses,"n. 通路, 入口, 接近, 进入, 使用权, 发作\nvt. 访问, 存取, 接近, 使用\n[计] 访问, 存取"
accessibility,әk.sesә'biliti,"n. 易接近, 可进入\n[化] 可及性; 可达性; 可接近性; 吸湿性"
accessible,әk'sesәbl,"a. 易接近的, 可进入的, 可使用的, 易受影响的, 可理解的"
accession,æk'seʃәn,"n. 到达, 即位, 增加, 同意, 发作, 正式接受\nvt. 登记入册"
accessorize,әk'sesәraiz,"vt. 附加, 补充\nvi. 穿戴装饰品"
accessory,әk'sesәri,"n. 附件, 零件, 附加物, 从犯, 同谋\na. 附属的, 补充的, 同谋的, 帮凶的, 非主要的, 副的\n[计] 附件"
accident,'æksidәnt,"n. 意外事件, 机遇, 事故, 次要方面\n[化] 意外事故; 事故"
accidental,.æksi'dentl,"a. 意外的, 偶然的, 非主要的, 附属的\nn. 临时记号, 次要方面"
accidentally,.æksi'dentli,"adv. 偶然地, 意外地"
acclaim,ә'kleim,"n. 喝彩, 欢呼, 赞同\nv. 欢呼, 喝彩, 称赞"
acclaimed,ə'kleɪmd,v. 欢呼（acclaim的过去式及过去分词）\na. 受到赞扬的
acclamation,.æklә'meiʃәn,"n. 欢呼, 称赞, 喝彩"
acclimate,ә'klaimit,"vt. 使适应, 使服水土\nvi. 服水土, 适应新环境"
acclimation,.æklai'meiʃәn,"n. 服水土, 顺应, 适应环境\n[化] 驯化"
acclimatization,"ә,klaimәtai'zeiʃәn","n. 服水土, 顺应, 适应环境\n[化] 驯化; 驯化作用; 适量沉淀"
acclimatize,ә'klaimәtaiz,"vt. 使适应新环境, 使服水土\nvi. 服水土"
acclimatized,ə'klaimətaiz,"vt. 使适应新环境, 使服水土"
accolade,.ækәu'leid,"n. 荣誉, 赞美, 骑士爵位的授予礼, 连谱号"
accommodate,ә'kɒmәdeit,"vt. 使适应, 调和, 通融, 容纳, 向...提供\nvi. 适应"
accommodating,ә'kɒmәdeitiŋ,"a. 与人方便的, 肯通融的"
accommodation,ә.kɒmә'deiʃәn,"n. 膳宿, 预订铺位, 适应性调节, 调和, 贷款\n[医] 调节(眼); 适应"
accommodationist,әkɒmә'deiʃәnist,"n. 妥协迁就者\na. 妥协的, 迁就的"
accommodative,ә'kɒmәdeitiv,"a. 予以方便的, 肯通融的\n[医] 适应的; 调节的"
accompaniment,ә'kʌmpәnimәnt,"n. 伴随物, 附加物, 伴奏"
accompanist,ә'kʌmpәnist,n. 伴奏者
accompany,ә'kʌmpәni,"vt. 陪伴, 伴随, 补充, 为...伴奏\nvi. 伴奏, 伴唱"
accompanying,,"a. 随同的, 附见的"
accomplice,ә'kʌmplis,"n. 共犯, 同谋\n[医] 协同菌"
accomplish,ә'kʌmpliʃ,"vt. 完成, 达到, 实现, 使完美"
accomplished,ә'kʌmpliʃt,"a. 完成的, 实现的, 有造诣的, 熟练的, 善社交的"
accomplishment,ә'kʌmpliʃmәnt,"n. 成就, 完成"
accord,ә'kɒ:d,"n. 一致, 调和, 协定\nvt. 给与, 使一致\nvi. 相符合"
accordance,ә'kɒ:dәns,"n. 一致, 和谐"
according,ә'kɒ:diŋ,"a. 相符的, 根据...而定的\nadv. 相应地"
accordingly,ә'kɒ:diŋli,"adv. 相应地, 因此, 于是"
accordion,ә'kɒ:djәn,n. 手风琴\na. 可折叠的
accordionist,ә'kɒ:djәnist,n. 手风琴师
accost,ә'kɒst,"vt. 招呼, 搭讪, 勾引\n[法] 勾引, 引诱"
account,ә'kaunt,"n. 报告, 解释, 估价, 理由, 利润, 算账, 帐目\nvi. 报帐, 解释, 导致, 报偿, 占, 杀死\nvt. 认为\n[计] 帐户, 帐号"
accountability,ә.kauntә'biliti,"n. 负有责任, 可说明性\n[化] 衡算计量"
accountable,ә'kauntәbl,"a. 负有责任的, 可说明的, 可解释的\n[经] 负有责任的"
accountancy,ә'kauntәnsi,"n. 会计工作, 会计学\n[经] 会计工作, 会计学术, 会计职业"
accountant,ә'kauntәnt,"n. 会计人员, 会计师\n[经] 会计师, 会计人员"
accounting,ә'kauntiŋ,"n. 会计学, 帐单, 清帐\n[计] 帐户处理, 记帐"
accouterments,ә'ku:tәmәnts,"n. 军人的配备, 服装"
accoutrement,ә'ku:tәmәnt,"n. 装备, 配备"
accredit,ә'kredit,"vt. 信托, 确认, 归结于, 委派\n[经] 发行信用证, 信托, 委托"
accreditation,ә.kredi'teiʃәn,"n. 委派, 信托, 鉴定合格\n[法] 立案, 备案, 任命"
accredited,ә'kreditid,v. 认可（accredit的过去分词形式）
accrediting,,n. 本金增值\nvt. 认可；相信；归功于（accredit的现在分词）
accrete,æ'kri:t,"vi. 连生, 合生, 附依\nvt. 使依附, 使连接\na. 合生的"
accretion,æ'kri:ʃәn,"n. 自然增大, 添加, 添加物, 连生\n[化] 停滞堆积"
accrual,ә'kru:әl,"n. 自然增长, 自然增长额\n[经] 应计额, 发生额"
accrue,ә'kru:,"vi. 自然增加, 产生\n[经] 应计, 产生, 出现"
accrued,ә'krud,a. 应计的；增值的；权责已发生的
acculturate,ә'kʌltʃәreit,vi. 适应新的文化习俗\nvt. 使适应新的文化习俗
acculturation,ә.kʌltʃә'reiʃәn,"n. 文化互渗, 文化适应"
acculturative,,文化适应的
accumulate,ә'kju:mjuleit,"v. 积聚, 堆积"
accumulated,,a. 累计的；累积的；达到
accumulating,,[计] 累加
accumulation,ә.kju:mju'leiʃәn,"n. 积聚, 累积, 积聚物\n[医] 蓄积, 累积"
accumulative,ә'kju:mjulәtiv,"a. 积聚而成的, 累积的\n[经] 累积的, 累计的"
accumulator,ә'kju:mjuleitә,"n. 积聚者, 蓄能器, 蓄电池\n[计] 累加器"
accuracy,'ækjurәsi,"n. 精确, 正确\n[计] 准确度"
accurate,'ækjurәt,"a. 正确的, 精确的\n[经] 准确的, 精确的"
accurately,'ækjurәtli,"adv. 正确地, 精确地"
accursed,ә'kә:sid,"a. 被咒的, 注定完蛋的, 讨厌的"
accusation,ækju:'zeiʃәn,"n. 控告, 指控, 指责\n[法] 控告, 起诉, 告发"
accusatory,ә'kju:zәtәri,"a. 控诉的, 指责的\n[法] 控诉的, 起诉的, 告发的"
accuse,ә'kju:z,"vt. 指责, 控告, 归咎于\nvi. 指责, 控告"
accused,ә'kju:zd,n. 被告
accuser,ә'kju:zә,"n. 控诉者, 指责者\n[法] 原告, 指控人, 控告者"
accusing,ә'kju:ziŋ,"a. 指责的, 非难的"
accusingly,ә'kju:ziŋli,adv. 责难地
accustom,ә'kʌstәm,vt. 使习惯于
accustomed,ә'kʌstәmd,"a. 惯常的, 习惯了的"
ace,eis,"n. 幺点, 好手, 少许, 发球得分\na. 一流的, 杰出的\n[计] 应答允许, 自适应计算机试验, 自动呼叫设备, 自动执行控制"
acellular,ei'seljulә,"a. 非细胞的,非细胞组成的"
acequia,ә'seikjә,n. (美国西南部的)灌溉水渠
acerbic,ә'sә:bik,"a. 酸的, 尖刻的"
acerbically,,酸地\n尖酸地
acetaldehyde,",æsi'tældәhaid","[化] 乙醛\n[医] 乙醛, 醋醛"
acetaminophen,",æsi'tæminәfәn","n. 乙酰, 退热净, 氨基酚\n[化] 对乙酰氨基酚; 扑热息痛"
acetate,'æsiteit,n. 醋酸盐\n[化] 醋酸盐(或酯、根)
acetic,ә'si:tik,"a. 醋的, 乙酸的\n[医] 醋酸的, 醋的"
acetone,'æsitәun,n. 丙酮\n[化] 丙酮
acetylcholine,ә.si:til'kәuli:n,n. 乙酰胆碱\n[化] 乙酰胆碱
acetylene,ә'setili:n,"n. 乙炔, 电石气\n[化] 乙炔; 双亚乙基"
ACH,,[计] 自动化票证交换所\n[医] 肾上腺皮质激素
Achaemenid,ə'ki:mənid; ə'kem-,n. 阿契美尼德王族成员\na. 阿契美尼德人的；阿契美尼德王族的
ache,eik,"n. 疼痛\nvi. 痛, 哀怜, 渴望"
achievable,ә'tʃi:vәbl,"a. 做得成的, 可完成的, 可有成就的"
achieve,ә'tʃi:v,"vt. 完成, 达到\nvi. 如愿以偿"
achieved,ә'tʃi:vd,a. 取得的；完成的
achievement,ә'tʃi:vmәnt,"n. 完成, 成就, 功业"
achiever,ә'tʃi:vә,n. 获得成功的人
aching,'eikiŋ,"a. 疼痛的, 使人痛苦的"
achingly,'ekɪŋli,adv. 极其；痛惜地；非常痛地
achromat,'ækrәmæt,[化] 消色差透镜\n[医] 消色差透镜
achromatic,ækrәu'mætik,"a. 无色的, 不分光的, 消色差的, 非染色质的\n[化] 消色差的"
achy,'eiki,a. 疼痛的
acid,'æsid,"n. 酸, 酸类物质, 尖刻, 迷幻药\na. 酸的, 酸性的, 尖刻的, 敏锐的\n[计] 自动文档互参与索引生成程序"
acidic,ә'sidik,"a. 成酸的, 尖刻的, 酸性的\n[机] 酸性"
acidification,ә.sidifi'keiʃәn,"n. 使发酸, 酸化, 成酸性\n[化] 酸化; 加酸"
acidify,ә'sidifai,"vt. 使变酸, 使成酸\nvi. 变酸"
acidity,ә'siditi,n. 酸性\n[化] 酸度; 酸性; 酸性反应
acidly,'æsidli,"adv. 尖刻地, 敏锐地"
acidophilus,ˌæsɪ'dɒfələs,a. 嗜酸的
acidosis,.æsi'dәusis,n. 酸中毒\n[化] 酸中毒
ackee,'æki:,西非荔枝果
acknowledge,әk'nɒlidʒ,"vt. 承认, 告知收悉, 答谢, 报偿\n[经] 承认, 答谢, 收到的通知"
acknowledged,әk'nɒlidʒid,a. 公认的
acknowledgement,әk'nɒlidʒmәnt,"n. 承认, 确认, 感谢, 收到的通知\n[计] 确认; 肯定"
acknowledgment,әk'nɔlidʒmәnt,"n. 承认, 答谢, 认可, 谢礼, 收到的通知, 收到的回音, 谢意\n[计] 肯定, 确认认可"
acme,'ækmi,"n. 顶点, 极度, 最高点\n[医] 极期"
acne,'ækni,"n. 痤疮, 粉刺\n[医] 痤疮, 粉刺"
acolyte,'ækәulait,"n. 侍僧, 助手"
aconite,'ækәnait,n. 乌头\n[化] 乌头
acorn,'eikɒ:n,"n. 橡树果实\n[机] 浆栎, 浆栎果"
acoustic,ә'ku:stik,"a. 听觉的, 声学的, 音响的\n[医] 听的; 声学的"
acoustical,ә'ku:stikәl,"a. 听觉的, 声学的"
acoustically,ə'kuːstɪkəlɪ,adv. 听觉上；声学上
acoustician,.æku:'stiʃәn,n. 声学家
acquaint,ә'kweint,"vt. 使认识, 介绍"
acquaintance,ә'kweintәns,"n. 认识, 相识者"
acquaintanceship,ә'kweintәnsʃip,"n. 相识, 认识, 交往关系"
acquiesce,.ækwi'es,"vi. 默许, 默然同意"
acquiescence,.ækwi'esәns,"n. 默许, 默认\n[法] 默许, 默认"
acquiescent,.ækwi'eәsnt,"a. 默许的, 默认的, 默从的\n[法] 默许的, 默认的, 勉强顺从的"
acquire,ә'kwaiә,"vt. 获得, 学到\n[电] 目标锁定"
acquired,ә'kwaiәd,"a. 获得的, 后天的\n[医] 获得的, 后天的"
acquirer,,"[法] 转得人, 取得人, 受让人"
acquisition,.ækwi'ziʃәn,"n. 获得, 获得物\n[经] 收购, 招揽, 取得"
acquisitive,ә'kwizitiv,"a. 渴望获得的, 贪婪的\n[法] 取得的, 获得的, 贪得无厌的"
acquisitiveness,"ə,kwi'zitivnis",n. 占有欲
acquit,ә'kwit,"vt. 无罪释放, 表现, 使履行\n[法] 开释, 释放, 免"
acquittal,ә'kwitәl,"n. 履行, 无罪开释\n[经] (债务的)清偿"
acreage,'eikәridʒ,"n. 英亩数, 土地面积\n[经] 英亩数, 土地面积, 矿区租赁面积"
acrid,'ækrid,"a. 苦味的, 辛辣的, 讥讽的, 刻薄的\n[医] 辛辣的"
acrimonious,ækri'mәunjәs,"a. 尖刻的, 讥讽的, 激烈的"
acrimony,'ækrimәni,"n. 严厉, 尖刻\n[医] 辛辣"
acrobat,'ækrәbæt,"n. 表演特技者, 杂技演员"
acrobatic,.ækrәu'bætik,"a. 杂技演员的, 杂技的"
acrobatics,.ækrәu'bætiks,"n. 杂技, 杂技表演"
acronym,'ækrәunim,"n. 首字母缩拼词, 首字母组合词\n[计] 字首组合词"
acropolis,ә'krɒpәlis,n. 古希腊的卫城
